Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2018,"June 10, 2018",Regular season,Phoenix Mercury,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,8471,2018-06-10,8471
2018,"June 10, 2018",Regular season,Seattle Storm,Atlanta Dream,KeyArena,Seattle,WA,6345,2018-06-10,6345
2018,"June 12, 2018",Regular season,Indiana Fever,Las Vegas Aces,Bankers Life Fieldhouse,Indianapolis,IN,5437,2018-06-12,5437
2018,"June 12, 2018",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4026,2018-06-12,4026
2018,"June 12, 2018",Regular season,Seattle Storm,Chicago Sky,KeyArena,Seattle,WA,4353,2018-06-12,4353
2018,"June 12, 2018",Regular season,Los Angeles Sparks,Atlanta Dream,Staples Center,Los Angeles,CA,9215,2018-06-12,9215
2018,"June 13, 2018",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,7696,2018-06-13,7696
2018,"June 13, 2018",Regular season,New York Liberty,Las Vegas Aces,Westchester County Center,White Plains,NY,1419,2018-06-13,1419
2018,"June 14, 2018",Regular season,Atlanta Dream,Indiana Fever,McCamish Pavilion,Atlanta,GA,6561,2018-06-14,6561
2018,"June 15, 2018",Regular season,Washington Mystics,Los Angeles Sparks,Capital One Arena,Washington,DC,5289,2018-06-15,5289
2018,"June 15, 2018",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,4549,2018-06-15,4549
2018,"June 15, 2018",Regular season,Seattle Storm,Connecticut Sun,KeyArena,Seattle,WA,7094,2018-06-15,7094
2018,"June 16, 2018",Regular season,Indiana Fever,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,6234,2018-06-16,6234
2018,"June 16, 2018",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,9114,2018-06-16,9114
2018,"June 16, 2018",Regular season,Phoenix Mercury,Connecticut Sun,Talking Stick Resort Arena,Phoenix,AZ,12497,2018-06-16,12497
2018,"June 17, 2018",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,5584,2018-06-17,5584
2018,"June 17, 2018",Regular season,Las Vegas Aces,Phoenix Mercury,Mandalay Bay Events Center,Las Vegas,NV,4432,2018-06-17,4432
2018,"June 19, 2018",Regular season,New York Liberty,Atlanta Dream,Westchester County Center,White Plains,NY,1627,2018-06-19,1627
2018,"June 19, 2018",Regular season,Washington Mystics,Chicago Sky,Capital One Arena,Washington,DC,4206,2018-06-19,4206
2018,"June 19, 2018",Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,8023,2018-06-19,8023
2018,"June 19, 2018",Regular season,Seattle Storm,Las Vegas Aces,KeyArena,Seattle,WA,6395,2018-06-19,6395
2018,"June 19, 2018",Regular season,Los Angeles Sparks,Indiana Fever,Staples Center,Los Angeles,CA,8857,2018-06-19,8857
2018,"June 22, 2018",Regular season,Atlanta Dream,Connecticut Sun,McCamish Pavilion,Atlanta,GA,4047,2018-06-22,4047
2018,"June 22, 2018",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5672,2018-06-22,5672
2018,"June 22, 2018",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,5831,2018-06-22,5831
2018,"June 22, 2018",Regular season,Las Vegas Aces,New York Liberty,Mandalay Bay Events Center,Las Vegas,NV,5478,2018-06-22,5478
2018,"June 22, 2018",Regular season,Phoenix Mercury,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,11349,2018-06-22,11349
2018,"June 22, 2018",Regular season,Seattle Storm,Indiana Fever,KeyArena,Seattle,WA,8142,2018-06-22,8142
2018,"June 24, 2018",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,4084,2018-06-24,4084
2018,"June 24, 2018",Regular season,Los Angeles Sparks,New York Liberty,Staples Center,Los Angeles,CA,9203,2018-06-24,9203
2018,"June 24, 2018",Regular season,Indiana Fever,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,5458,2018-06-24,5458
2018,"June 24, 2018",Regular season,Las Vegas Aces,Minnesota Lynx,Mandalay Bay Events Center,Las Vegas,NV,4814,2018-06-24,4814
2018,"June 24, 2018",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,4741,2018-06-24,4741
2018,"June 26, 2018",Regular season,New York Liberty,Phoenix Mercury,Westchester County Center,White Plains,NY,1839,2018-06-26,1839
2018,"June 26, 2018",Regular season,Washington Mystics,Connecticut Sun,Capital One Arena,Washington,DC,4139,2018-06-26,4139
2018,"June 26, 2018",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,8634,2018-06-26,8634
2018,"June 26, 2018",Regular season,Los Angeles Sparks,Dallas Wings,Staples Center,Los Angeles,CA,10002,2018-06-26,10002
2018,"June 27, 2018",Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,8521,2018-06-27,8521
2018,"June 27, 2018",Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,5112,2018-06-27,5112
2018,"June 27, 2018",Regular season,Las Vegas Aces,Dallas Wings,Mandalay Bay Events Center,Las Vegas,NV,5246,2018-06-27,5246
2018,"June 28, 2018",Regular season,Washington Mystics,New York Liberty,Capital One Arena,Washington,DC,4473,2018-06-28,4473
2018,"June 28, 2018",Regular season,Seattle Storm,Los Angeles Sparks,KeyArena,Seattle,WA,8447,2018-06-28,8447
2018,"June 29, 2018",Regular season,Indiana Fever,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,7241,2018-06-29,7241
2018,"June 29, 2018",Regular season,New York Liberty,Chicago Sky,Westchester County Center,White Plains,NY,1837,2018-06-29,1837
2018,"June 29, 2018",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,9209,2018-06-29,9209
2018,"June 29, 2018",Regular season,Las Vegas Aces,Los Angeles Sparks,Mandalay Bay Events Center,Las Vegas,NV,5124,2018-06-29,5124
2018,"June 30, 2018",Regular season,Washington Mystics,Phoenix Mercury,Capital One Arena,Washington,DC,6218,2018-06-30,6218
2018,"July 1, 2018",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,4448,2018-07-01,4448
2018,"July 1, 2018",Regular season,Los Angeles Sparks,Las Vegas Aces,Staples Center,Los Angeles,CA,12003,2018-07-01,12003
