Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2019,"September 5, 2019",Regular season,Atlanta Dream,Las Vegas Aces,State Farm Arena,Atlanta,GA,4023,2019-09-05,4023
2019,"September 5, 2019",Regular season,Los Angeles Sparks,Seattle Storm,Staples Center,Los Angeles,CA,10591,2019-09-05,10591
2019,"September 6, 2019",Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,3963,2019-09-06,3963
2019,"September 6, 2019",Regular season,New York Liberty,Indiana Fever,Westchester County Center,White Plains,NY,2301,2019-09-06,2301
2019,"September 6, 2019",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,8077,2019-09-06,8077
2019,"September 6, 2019",Regular season,Phoenix Mercury,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,12140,2019-09-06,12140
2019,"September 8, 2019",Regular season,Atlanta Dream,New York Liberty,State Farm Arena,Atlanta,GA,5495,2019-09-08,5495
2019,"September 8, 2019",Regular season,Phoenix Mercury,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,13135,2019-09-08,13135
2019,"September 8, 2019",Regular season,Los Angeles Sparks,Minnesota Lynx,Staples Center,Los Angeles,CA,13500,2019-09-08,13500
2019,"September 8, 2019",Regular season,Indiana Fever,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,5451,2019-09-08,5451
2019,"September 8, 2019",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5910,2019-09-08,5910
2019,"September 8, 2019",Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4200,2019-09-08,4200
2021,"May 14, 2021",Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,1139,2021-05-14,1139
2021,"May 14, 2021",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,561,2021-05-14,561
2021,"May 14, 2021",Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,2021,2021-05-14,2021
2021,"May 14, 2021",Regular season,Los Angeles Sparks,Dallas Wings,Los Angeles Convention Center,Los Angeles,CA,0,2021-05-14,0
2021,"May 15, 2021",Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,1050,2021-05-15,1050
2021,"May 15, 2021",Regular season,Seattle Storm,Las Vegas Aces,Angel of the Winds Arena,Everett,WA,1031,2021-05-15,1031
2021,"May 16, 2021",Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,2042,2021-05-16,2042
2021,"May 18, 2021",Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,815,2021-05-18,815
2021,"May 18, 2021",Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,1050,2021-05-18,1050
2021,"May 18, 2021",Regular season,Seattle Storm,Las Vegas Aces,Angel of the Winds Arena,Everett,WA,1001,2021-05-18,1001
2021,"May 19, 2021",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,689,2021-05-19,689
2021,"May 19, 2021",Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,2084,2021-05-19,2084
2021,"May 20, 2021",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,1934,2021-05-20,1934
2021,"May 21, 2021",Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,1050,2021-05-21,1050
2021,"May 21, 2021",Regular season,Phoenix Mercury,Connecticut Sun,Phoenix Suns Arena,Phoenix,AZ,4101,2021-05-21,4101
2021,"May 21, 2021",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,1972,2021-05-21,1972
2021,"May 22, 2021",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,1491,2021-05-22,1491
2021,"May 23, 2021",Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,1332,2021-05-23,1332
2021,"May 23, 2021",Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,1954,2021-05-23,1954
2021,"May 24, 2021",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,894,2021-05-24,894
2021,"May 25, 2021",Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,1004,2021-05-25,1004
2021,"May 25, 2021",Regular season,Seattle Storm,Connecticut Sun,Angel of the Winds Arena,Everett,WA,1011,2021-05-25,1011
2021,"May 26, 2021",Regular season,Phoenix Mercury,Las Vegas Aces,Phoenix Suns Arena,Phoenix,AZ,4082,2021-05-26,4082
2021,"May 27, 2021",Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,711,2021-05-27,711
2021,"May 28, 2021",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,2102,2021-05-28,2102
2021,"May 28, 2021",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,1124,2021-05-28,1124
2021,"May 28, 2021",Regular season,Seattle Storm,Minnesota Lynx,Angel of the Winds Arena,Everett,WA,1332,2021-05-28,1332
2021,"May 28, 2021",Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,1975,2021-05-28,1975
2021,"May 29, 2021",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,1235,2021-05-29,1235
2021,"May 29, 2021",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,1717,2021-05-29,1717
2021,"May 30, 2021",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,1124,2021-05-30,1124
2021,"May 30, 2021",Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,1981,2021-05-30,1981
2021,"May 30, 2021",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,2007,2021-05-30,2007
2021,"June 1, 2021",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,2012,2021-06-01,2012
2021,"June 1, 2021",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,1372,2021-06-01,1372
2021,"June 1, 2021",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,1217,2021-06-01,1217
2021,"June 1, 2021",Regular season,Seattle Storm,Indiana Fever,Angel of the Winds Arena,Everett,WA,1215,2021-06-01,1215
2021,"June 3, 2021",Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,1389,2021-06-03,1389
2021,"June 3, 2021",Regular season,Phoenix Mercury,Chicago Sky,Phoenix Suns Arena,Phoenix,AZ,3819,2021-06-03,3819
2021,"June 3, 2021",Regular season,Los Angeles Sparks,Indiana Fever,Los Angeles Convention Center,Los Angeles,CA,301,2021-06-03,301
2021,"June 4, 2021",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,2024,2021-06-04,2024
2021,"June 4, 2021",Regular season,Seattle Storm,Dallas Wings,Angel of the Winds Arena,Everett,WA,1467,2021-06-04,1467
2021,"June 5, 2021",Regular season,Washington Mystics,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,2100,2021-06-05,2100
2021,"June 5, 2021",Regular season,Los Angeles Sparks,Chicago Sky,Los Angeles Convention Center,Los Angeles,CA,430,2021-06-05,430
2021,"June 5, 2021",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,2118,2021-06-05,2118
2021,"June 6, 2021",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,2021,2021-06-06,2021
2021,"June 6, 2021",Regular season,Seattle Storm,Dallas Wings,Angel of the Winds Arena,Everett,WA,1930,2021-06-06,1930
2021,"June 8, 2021",Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,2100,2021-06-08,2100
2021,"June 8, 2021",Regular season,Phoenix Mercury,Dallas Wings,Phoenix Suns Arena,Phoenix,AZ,3618,2021-06-08,3618
2021,"June 9, 2021",Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,1014,2021-06-09,1014
2021,"June 9, 2021",Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,1090,2021-06-09,1090
2021,"June 10, 2021",Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,2100,2021-06-10,2100
2021,"June 11, 2021",Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,1405,2021-06-11,1405
2021,"June 11, 2021",Regular season,Phoenix Mercury,Dallas Wings,Phoenix Suns Arena,Phoenix,AZ,4261,2021-06-11,4261
2021,"June 12, 2021",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,2203,2021-06-12,2203
2021,"June 13, 2021",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,2248,2021-06-13,2248
2021,"June 13, 2021",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,1122,2021-06-13,1122
2021,"June 13, 2021",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,2126,2021-06-13,2126
2021,"June 13, 2021",Regular season,Phoenix Mercury,New York Liberty,Phoenix Suns Arena,Phoenix,AZ,4476,2021-06-13,4476
2021,"June 15, 2021",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,2024,2021-06-15,2024
2021,"June 15, 2021",Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,2115,2021-06-15,2115
2021,"June 16, 2021",Regular season,Los Angeles Sparks,Phoenix Mercury,Los Angeles Convention Center,Los Angeles,CA,514,2021-06-16,514
2021,"June 17, 2021",Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,2100,2021-06-17,2100
2021,"June 17, 2021",Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,1293,2021-06-17,1293
2021,"June 17, 2021",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,1519,2021-06-17,1519
2021,"June 17, 2021",Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,2215,2021-06-17,2215
2021,"June 18, 2021",Regular season,Los Angeles Sparks,Phoenix Mercury,Los Angeles Convention Center,Los Angeles,CA,520,2021-06-18,520
2021,"June 19, 2021",Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,1293,2021-06-19,1293
2021,"June 19, 2021",Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,2100,2021-06-19,2100
2021,"June 19, 2021",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,1751,2021-06-19,1751
2021,"June 20, 2021",Regular season,Los Angeles Sparks,New York Liberty,Los Angeles Convention Center,Los Angeles,CA,731,2021-06-20,731
2021,"June 22, 2021",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,2076,2021-06-22,2076
2021,"June 22, 2021",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,1419,2021-06-22,1419
2021,"June 22, 2021",Regular season,Seattle Storm,Washington Mystics,Angel of the Winds Arena,Everett,WA,2495,2021-06-22,2495
2021,"June 23, 2021",Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,907,2021-06-23,907
2021,"June 24, 2021",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,2148,2021-06-24,2148
2021,"June 24, 2021",Regular season,Los Angeles Sparks,Washington Mystics,Los Angeles Convention Center,Los Angeles,CA,520,2021-06-24,520
2021,"June 25, 2021",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,2734,2021-06-25,2734
2021,"June 26, 2021",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,2055,2021-06-26,2055
2021,"June 26, 2021",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,1605,2021-06-26,1605
2021,"June 27, 2021",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,2014,2021-06-27,2014
2021,"June 27, 2021",Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,3766,2021-06-27,3766
2021,"June 27, 2021",Regular season,Phoenix Mercury,Los Angeles Sparks,Phoenix Suns Arena,Phoenix,AZ,7304,2021-06-27,7304
2021,"June 29, 2021",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,1131,2021-06-29,1131
2021,"June 29, 2021",Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,2100,2021-06-29,2100
2021,"June 30, 2021",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,1778,2021-06-30,1778
2021,"June 30, 2021",Regular season,Phoenix Mercury,Minnesota Lynx,Phoenix Suns Arena,Phoenix,AZ,4122,2021-06-30,4122
2021,"June 30, 2021",Regular season,Los Angeles Sparks,Las Vegas Aces,Los Angeles Convention Center,Los Angeles,CA,746,2021-06-30,746
2021,"July 2, 2021",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,2187,2021-07-02,2187
2021,"July 2, 2021",Regular season,Los Angeles Sparks,Las Vegas Aces,Los Angeles Convention Center,Los Angeles,CA,959,2021-07-02,959
2021,"July 2, 2021",Regular season,Seattle Storm,Atlanta Dream,Angel of the Winds Arena,Everett,WA,3011,2021-07-02,3011
2021,"July 3, 2021",Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,1615,2021-07-03,1615
2021,"July 3, 2021",Regular season,Phoenix Mercury,Minnesota Lynx,Phoenix Suns Arena,Phoenix,AZ,8182,2021-07-03,8182
2021,"July 4, 2021",Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,2705,2021-07-04,2705
2021,"July 4, 2021",Regular season,Los Angeles Sparks,Seattle Storm,Los Angeles Convention Center,Los Angeles,CA,716,2021-07-04,716
2021,"July 5, 2021",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,1677,2021-07-05,1677
2021,"July 7, 2021",Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,2321,2021-07-07,2321
2021,"July 7, 2021",Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,3013,2021-07-07,3013
2021,"July 7, 2021",Regular season,Seattle Storm,Los Angeles Sparks,Angel of the Winds Arena,Everett,WA,2730,2021-07-07,2730
2021,"July 9, 2021",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,2286,2021-07-09,2286
2021,"July 9, 2021",Regular season,Phoenix Mercury,Seattle Storm,Phoenix Suns Arena,Phoenix,AZ,7554,2021-07-09,7554
2021,"July 9, 2021",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,4291,2021-07-09,4291
2021,"July 10, 2021",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,8331,2021-07-10,8331
2021,"July 11, 2021",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,2533,2021-07-11,2533
2021,"July 11, 2021",Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,1988,2021-07-11,1988
2021,"July 11, 2021",Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,1897,2021-07-11,1897
2021,"July 11, 2021",Regular season,Seattle Storm,Phoenix Mercury,Angel of the Winds Arena,Everett,WA,5110,2021-07-11,5110
2021,"July 11, 2021",Regular season,Los Angeles Sparks,Minnesota Lynx,Los Angeles Convention Center,Los Angeles,CA,892,2021-07-11,892
2021,"August 15, 2021",Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,6231,2021-08-15,6231
2021,"August 15, 2021",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,2399,2021-08-15,2399
2021,"August 15, 2021",Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,3024,2021-08-15,3024
2021,"August 15, 2021",Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7491,2021-08-15,7491
2021,"August 15, 2021",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,3534,2021-08-15,3534
2021,"August 15, 2021",Regular season,Los Angeles Sparks,Indiana Fever,STAPLES Center,Los Angeles,CA,2029,2021-08-15,2029
2021,"August 17, 2021",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,3488,2021-08-17,3488
2021,"August 17, 2021",Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,3902,2021-08-17,3902
2021,"August 17, 2021",Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,3241,2021-08-17,3241
2021,"August 17, 2021",Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,4089,2021-08-17,4089
2021,"August 17, 2021",Regular season,Los Angeles Sparks,Atlanta Dream,STAPLES Center,Los Angeles,CA,2200,2021-08-17,2200
2021,"August 18, 2021",Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,2103,2021-08-18,2103
2021,"August 19, 2021",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,3536,2021-08-19,3536
2021,"August 19, 2021",Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,5113,2021-08-19,5113
2021,"August 19, 2021",Regular season,Los Angeles Sparks,Atlanta Dream,STAPLES Center,Los Angeles,CA,1885,2021-08-19,1885
2021,"August 20, 2021",Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,3889,2021-08-20,3889
2021,"August 20, 2021",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,2017,2021-08-20,2017
2021,"August 21, 2021",Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,2073,2021-08-21,2073
2021,"August 21, 2021",Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,5036,2021-08-21,5036
2021,"August 22, 2021",Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,0,2021-08-22,0
2021,"August 22, 2021",Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,3114,2021-08-22,3114
2021,"August 24, 2021",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,3634,2021-08-24,3634
2021,"August 24, 2021",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,1292,2021-08-24,1292
2021,"August 24, 2021",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,4012,2021-08-24,4012
2021,"August 24, 2021",Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,2620,2021-08-24,2620
2021,"August 25, 2021",Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,1872,2021-08-25,1872
2021,"August 26, 2021",Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,2182,2021-08-26,2182
2021,"August 26, 2021",Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,3702,2021-08-26,3702
2021,"August 26, 2021",Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,2465,2021-08-26,2465
2021,"August 27, 2021",Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,2315,2021-08-27,2315
2021,"August 27, 2021",Regular season,Seattle Storm,Chicago Sky,Angel of the Winds Arena,Everett,WA,3650,2021-08-27,3650
2021,"August 28, 2021",Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,4434,2021-08-28,4434
2021,"August 28, 2021",Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,2410,2021-08-28,2410
2021,"August 29, 2021",Regular season,Seattle Storm,Chicago Sky,Angel of the Winds Arena,Everett,WA,3750,2021-08-29,3750
2021,"August 31, 2021",Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,2269,2021-08-31,2269
2021,"August 31, 2021",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,3221,2021-08-31,3221
2021,"August 31, 2021",Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,5838,2021-08-31,5838
2021,"September 2, 2021",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,1975,2021-09-02,1975
2021,"September 2, 2021",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,3121,2021-09-02,3121
2021,"September 2, 2021",Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,5150,2021-09-02,5150
2021,"September 2, 2021",Regular season,Seattle Storm,New York Liberty,Angel of the Winds Arena,Everett,WA,3592,2021-09-02,3592
2021,"September 4, 2021",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,3403,2021-09-04,3403
2021,"September 5, 2021",Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,5210,2021-09-05,5210
2021,"September 5, 2021",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,2386,2021-09-05,2386
2021,"September 7, 2021",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,1945,2021-09-07,1945
2021,"September 7, 2021",Regular season,Seattle Storm,Washington Mystics,Angel of the Winds Arena,Everett,WA,2390,2021-09-07,2390
2021,"September 8, 2021",Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,1215,2021-09-08,1215
2021,"September 8, 2021",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,5663,2021-09-08,5663
2021,"September 9, 2021",Regular season,Los Angeles Sparks,Connecticut Sun,STAPLES Center,Los Angeles,CA,1695,2021-09-09,1695
2021,"September 10, 2021",Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,2320,2021-09-10,2320
2021,"September 10, 2021",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,3503,2021-09-10,3503
2021,"September 11, 2021",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,2888,2021-09-11,2888
2021,"September 11, 2021",Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,9811,2021-09-11,9811
2021,"September 12, 2021",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,4707,2021-09-12,4707
2021,"September 12, 2021",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,3434,2021-09-12,3434
2021,"September 12, 2021",Regular season,Los Angeles Sparks,Seattle Storm,STAPLES Center,Los Angeles,CA,4181,2021-09-12,4181
2021,"September 13, 2021",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,4845,2021-09-13,4845
2021,"September 14, 2021",Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,1208,2021-09-14,1208
2021,"September 15, 2021",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,4012,2021-09-15,4012
2021,"September 16, 2021",Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,2537,2021-09-16,2537
2021,"September 17, 2021",Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,3615,2021-09-17,3615
2021,"September 17, 2021",Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,4911,2021-09-17,4911
2021,"September 17, 2021",Regular season,Seattle Storm,Phoenix Mercury,Angel of the Winds Arena,Everett,WA,6000,2021-09-17,6000
2021,"September 19, 2021",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,4724,2021-09-19,4724
2021,"September 19, 2021",Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,9724,2021-09-19,9724
2021,"September 19, 2021",Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,2854,2021-09-19,2854
2021,"September 19, 2021",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,3604,2021-09-19,3604
2022,"May 6, 2022",Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,4200,2022-05-06,4200
2022,"May 6, 2022",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,8111,2022-05-06,8111
2022,"May 6, 2022",Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,7167,2022-05-06,7167
2022,"May 6, 2022",Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,12904,2022-05-06,12904
2022,"May 7, 2022",Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,6829,2022-05-07,6829
2022,"May 7, 2022",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,5796,2022-05-07,5796
2022,"May 8, 2022",Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,2545,2022-05-08,2545
2022,"May 8, 2022",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,8134,2022-05-08,8134
2022,"May 8, 2022",Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,6212,2022-05-08,6212
2022,"May 10, 2022",Regular season,Washington Mystics,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,3082,2022-05-10,3082
2022,"May 10, 2022",Regular season,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,Indianapolis,IN,1078,2022-05-10,1078
2022,"May 11, 2022",Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-05-11,3138
2022,"May 11, 2022",Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,4935,2022-05-11,4935
2022,"May 11, 2022",Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,6098,2022-05-11,6098
2022,"May 13, 2022",Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,3281,2022-05-13,3281
2022,"May 13, 2022",Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-05-13,3138
2022,"May 13, 2022",Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,3289,2022-05-13,3289
2022,"May 14, 2022",Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,12453,2022-05-14,12453
2022,"May 14, 2022",Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,5624,2022-05-14,5624
2022,"May 14, 2022",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,6503,2022-05-14,6503
2022,"May 15, 2022",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,3095,2022-05-15,3095
2022,"May 15, 2022",Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,1745,2022-05-15,1745
