"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2021,"May 14, 2021","Regular season","New York Liberty","Indiana Fever","Barclays Center","Brooklyn","NY",1139
2021,"May 14, 2021","Regular season","Atlanta Dream","Connecticut Sun","Gateway Center Arena @ College Park","Atlanta","GA",561
2021,"May 14, 2021","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",2021
2021,"May 14, 2021","Regular season","Los Angeles Sparks","Dallas Wings","Los Angeles Convention Center","Los Angeles","CA",0
2021,"May 15, 2021","Regular season","Washington Mystics","Chicago Sky","Entertainment and Sports Arena","Washington","DC",1050
2021,"May 15, 2021","Regular season","Seattle Storm","Las Vegas Aces","Angel of the Winds Arena","Everett","WA",1031
2021,"May 16, 2021","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT",2042
2021,"May 18, 2021","Regular season","New York Liberty","Minnesota Lynx","Barclays Center","Brooklyn","NY",815
2021,"May 18, 2021","Regular season","Washington Mystics","Phoenix Mercury","Entertainment and Sports Arena","Washington","DC",1050
2021,"May 18, 2021","Regular season","Seattle Storm","Las Vegas Aces","Angel of the Winds Arena","Everett","WA",1001
2021,"May 19, 2021","Regular season","Atlanta Dream","Chicago Sky","Gateway Center Arena @ College Park","Atlanta","GA",689
2021,"May 19, 2021","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",2084
2021,"May 20, 2021","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",1934
2021,"May 21, 2021","Regular season","Washington Mystics","New York Liberty","Entertainment and Sports Arena","Washington","DC",1050
2021,"May 21, 2021","Regular season","Phoenix Mercury","Connecticut Sun","Phoenix Suns Arena","Phoenix","AZ",4101
2021,"May 21, 2021","Regular season","Las Vegas Aces","Los Angeles Sparks","Michelob ULTRA Arena","Las Vegas","NV",1972
2021,"May 22, 2021","Regular season","Dallas Wings","Seattle Storm","College Park Center","Arlington","TX",1491
2021,"May 23, 2021","Regular season","Chicago Sky","New York Liberty","Wintrust Arena","Chicago","IL",1332
2021,"May 23, 2021","Regular season","Las Vegas Aces","Connecticut Sun","Michelob ULTRA Arena","Las Vegas","NV",1954
2021,"May 24, 2021","Regular season","New York Liberty","Dallas Wings","Barclays Center","Brooklyn","NY",894
2021,"May 25, 2021","Regular season","Chicago Sky","Atlanta Dream","Wintrust Arena","Chicago","IL",1004
2021,"May 25, 2021","Regular season","Seattle Storm","Connecticut Sun","Angel of the Winds Arena","Everett","WA",1011
2021,"May 26, 2021","Regular season","Phoenix Mercury","Las Vegas Aces","Phoenix Suns Arena","Phoenix","AZ",4082
2021,"May 27, 2021","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA",711
2021,"May 28, 2021","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",2102
2021,"May 28, 2021","Regular season","Chicago Sky","Los Angeles Sparks","Wintrust Arena","Chicago","IL",1124
2021,"May 28, 2021","Regular season","Seattle Storm","Minnesota Lynx","Angel of the Winds Arena","Everett","WA",1332
