"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
1998,"June 11, 1998","Regular season","Charlotte Sting","Washington Mystics","Spectrum Center","Charlotte","NC",9092
1998,"June 11, 1998","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH",17911
1998,"June 11, 1998","Regular season","Utah Starzz","Los Angeles Sparks","EnergySolutions Arena","Salt Lake City","UT",9330
1998,"June 11, 1998","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA",7816
1998,"June 13, 1998","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX",16285
1998,"June 13, 1998","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI",15574
1998,"June 13, 1998","Regular season","Utah Starzz","Washington Mystics","EnergySolutions Arena","Salt Lake City","UT",6288
1998,"June 14, 1998","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",13057
1998,"June 15, 1998","Regular season","Charlotte Sting","Houston Comets","Spectrum Center","Charlotte","NC",6246
1998,"June 15, 1998","Regular season","Detroit Shock","Cleveland Rockers","Palace of Auburn Hills","Detroit","MI",7102
1998,"June 15, 1998","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT",6531
1998,"June 15, 1998","Regular season","Phoenix Mercury","Washington Mystics","US Airways Center","Phoenix","AZ",12522
1998,"June 16, 1998","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",5818
1998,"June 18, 1998","Regular season","Charlotte Sting","Detroit Shock","Spectrum Center","Charlotte","NC",5093
1998,"June 18, 1998","Regular season","Houston Comets","Cleveland Rockers","Compaq Center","Houston","TX",8853
1998,"June 18, 1998","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA",6053
1998,"June 19, 1998","Regular season","Washington Mystics","Utah Starzz","Verizon Center","Washington","DC",20674
1998,"June 19, 1998","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA",11191
1998,"June 20, 1998","Regular season","Cleveland Rockers","Detroit Shock","Quicken Loans Arena","Cleveland","OH",7876
1998,"June 20, 1998","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA",7101
1998,"June 21, 1998","Regular season","New York Liberty","Utah Starzz","Madison Square Garden","New York","NY",15754
1998,"June 21, 1998","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ",13503
1998,"June 21, 1998","Regular season","Washington Mystics","Detroit Shock","Verizon Center","Washington","DC",14314
1998,"June 21, 1998","Regular season","Los Angeles Sparks","Houston Comets","Great Western Forum","Los Angeles","CA",7301
1998,"June 22, 1998","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH",7405
1998,"June 23, 1998","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY",12402
1998,"June 23, 1998","Regular season","Detroit Shock","Sacramento Monarchs","Palace of Auburn Hills","Detroit","MI",7258
1998,"June 24, 1998","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ",12622
1998,"June 24, 1998","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA",5000
1998,"June 25, 1998","Regular season","Detroit Shock","Washington Mystics","Palace of Auburn Hills","Detroit","MI",7386
1998,"June 25, 1998","Regular season","Utah Starzz","Charlotte Sting","EnergySolutions Arena","Salt Lake City","UT",5949
1998,"June 26, 1998","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY",13877
1998,"June 26, 1998","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ",13676
1998,"June 27, 1998","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX",15358
1998,"June 27, 1998","Regular season","Cleveland Rockers","Detroit Shock","Quicken Loans Arena","Cleveland","OH",9518
1998,"June 27, 1998","Regular season","Charlotte Sting","Sacramento Monarchs","Spectrum Center","Charlotte","NC",8363
1998,"June 28, 1998","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC",15191
1998,"June 29, 1998","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY",12683
1998,"June 29, 1998","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI",7287
1998,"June 29, 1998","Regular season","Houston Comets","Washington Mystics","Compaq Center","Houston","TX",9227
1998,"June 30, 1998","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT",6975
1998,"June 30, 1998","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",6081
1998,"July 1, 1998","Regular season","Washington Mystics","Cleveland Rockers","Verizon Center","Washington","DC",10364
1998,"July 1, 1998","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI",9169
1998,"July 2, 1998","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH",7990
1998,"July 2, 1998","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA",7115
1998,"July 3, 1998","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",12479
1998,"July 3, 1998","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX",10607
