"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2015,"June 5, 2015","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",5846
2015,"June 5, 2015","Regular season","New York Liberty","Atlanta Dream","Madison Square Garden","New York","NY",8910
2015,"June 5, 2015","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",9020
2015,"June 5, 2015","Regular season","Chicago Sky","Indiana Fever","Allstate Arena","Rosemont","IL",8123
2015,"June 5, 2015","Regular season","Phoenix Mercury","San Antonio Stars","US Airways Center","Phoenix","AZ",11789
2015,"June 6, 2015","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",7400
2015,"June 6, 2015","Regular season","Indiana Fever","Minnesota Lynx","Bankers Life Fieldhouse","Indianapolis","IN",9034
2015,"June 6, 2015","Regular season","Tulsa Shock","Chicago Sky","BOK Center","Tulsa","OK",7256
2015,"June 6, 2015","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",9686
2015,"June 7, 2015","Regular season","Atlanta Dream","Connecticut Sun","Philips Arena","Atlanta","GA",8358
2015,"June 9, 2015","Regular season","New York Liberty","Indiana Fever","Madison Square Garden","New York","NY",5663
2015,"June 9, 2015","Regular season","Tulsa Shock","Seattle Storm","BOK Center","Tulsa","OK",4149
2015,"June 11, 2015","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT",4523
2015,"June 11, 2015","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY",5817
2015,"June 11, 2015","Regular season","Atlanta Dream","San Antonio Stars","Philips Arena","Atlanta","GA",4308
2015,"June 11, 2015","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",8132
2015,"June 12, 2015","Regular season","Washington Mystics","Atlanta Dream","Verizon Center","Washington","DC",7248
2015,"June 12, 2015","Regular season","Indiana Fever","Phoenix Mercury","Bankers Life Fieldhouse","Indianapolis","IN",6987
2015,"June 14, 2015","Regular season","Indiana Fever","Chicago Sky","Bankers Life Fieldhouse","Indianapolis","IN",6433
2015,"June 14, 2015","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",5520
2015,"June 14, 2015","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",9294
2015,"June 14, 2015","Regular season","San Antonio Stars","Tulsa Shock","Freeman Coliseum","San Antonio","TX",7305
2015,"June 14, 2015","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",12148
2015,"June 14, 2015","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",7629
2015,"June 16, 2015","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",9814
2015,"June 16, 2015","Regular season","Tulsa Shock","San Antonio Stars","BOK Center","Tulsa","OK",5005
2015,"June 16, 2015","Regular season","Seattle Storm","Connecticut Sun","KeyArena","Seattle","WA",4941
2015,"June 16, 2015","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",6968
2015,"June 19, 2015","Regular season","Washington Mystics","Tulsa Shock","Verizon Center","Washington","DC",7099
2015,"June 19, 2015","Regular season","New York Liberty","Indiana Fever","Madison Square Garden","New York","NY",7815
2015,"June 19, 2015","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",5166
2015,"June 19, 2015","Regular season","San Antonio Stars","Minnesota Lynx","Freeman Coliseum","San Antonio","TX",3968
2015,"June 19, 2015","Regular season","Phoenix Mercury","Connecticut Sun","US Airways Center","Phoenix","AZ",8907
2015,"June 20, 2015","Regular season","Indiana Fever","Washington Mystics","Bankers Life Fieldhouse","Indianapolis","IN",7627
2015,"June 20, 2015","Regular season","San Antonio Stars","Chicago Sky","Freeman Coliseum","San Antonio","TX",4026
2015,"June 21, 2015","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",5805
2015,"June 21, 2015","Regular season","Los Angeles Sparks","Connecticut Sun","Staples Center","Los Angeles","CA",6875
2015,"June 21, 2015","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",8823
2015,"June 21, 2015","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",5947
2015,"June 23, 2015","Regular season","Washington Mystics","Los Angeles Sparks","Verizon Center","Washington","DC",7400
2015,"June 24, 2015","Regular season","Chicago Sky","Atlanta Dream","Allstate Arena","Rosemont","IL",9893
2015,"June 25, 2015","Regular season","San Antonio Stars","Phoenix Mercury","Freeman Coliseum","San Antonio","TX",3102
2015,"June 25, 2015","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",5627
2015,"June 26, 2015","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT",5542
2015,"June 26, 2015","Regular season","Indiana Fever","Chicago Sky","Bankers Life Fieldhouse","Indianapolis","IN",6889
