"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2012,"May 18, 2012","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",9686
2012,"May 19, 2012","Regular season","New York Liberty","Connecticut Sun","Madison Square Garden","New York","NY",8112
2012,"May 19, 2012","Regular season","Indiana Fever","Atlanta Dream","Bankers Life Fieldhouse","Indianapolis","IN",9403
2012,"May 19, 2012","Regular season","Washington Mystics","Chicago Sky","Verizon Center","Washington","DC",11415
2012,"May 19, 2012","Regular season","Tulsa Shock","San Antonio Silver Stars","BOK Center","Tulsa","OK",7509
2012,"May 20, 2012","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",12611
2012,"May 20, 2012","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",7118
2012,"May 22, 2012","Regular season","New York Liberty","Minnesota Lynx","Prudential Center","Newark","NJ",5411
2012,"May 22, 2012","Regular season","Tulsa Shock","Phoenix Mercury","BOK Center","Tulsa","OK",5341
2012,"May 22, 2012","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",10717
2012,"May 24, 2012","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",7923
2012,"May 25, 2012","Regular season","Connecticut Sun","San Antonio Silver Stars","Mohegan Sun Arena","Uncasville","CT",6115
2012,"May 25, 2012","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",6802
2012,"May 25, 2012","Regular season","Chicago Sky","Indiana Fever","Allstate Arena","Rosemont","IL",6198
2012,"May 26, 2012","Regular season","Washington Mystics","Tulsa Shock","Verizon Center","Washington","DC",11866
2012,"May 26, 2012","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",10200
2012,"May 27, 2012","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",7282
2012,"May 27, 2012","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",7832
2012,"May 29, 2012","Regular season","Los Angeles Sparks","Tulsa Shock","Staples Center","Los Angeles","CA",8312
2012,"May 30, 2012","Regular season","Washington Mystics","Minnesota Lynx","Verizon Center","Washington","DC",8131
2012,"May 30, 2012","Regular season","San Antonio Stars","Chicago Sky","AT&T Center","San Antonio","TX",7233
2012,"May 31, 2012","Regular season","Atlanta Dream","Phoenix Mercury","Philips Arena","Atlanta","GA",4887
2012,"June 1, 2012","Regular season","Connecticut Sun","Minnesota Lynx","Mohegan Sun Arena","Uncasville","CT",7249
2012,"June 1, 2012","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",6534
2012,"June 1, 2012","Regular season","Chicago Sky","Washington Mystics","Allstate Arena","Rosemont","IL",4078
2012,"June 1, 2012","Regular season","Seattle Storm","Tulsa Shock","KeyArena","Seattle","WA",7489
2012,"June 2, 2012","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",4503
2012,"June 2, 2012","Regular season","Indiana Fever","New York Liberty","Bankers Life Fieldhouse","Indianapolis","IN",8006
2012,"June 3, 2012","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",7065
2012,"June 3, 2012","Regular season","Phoenix Mercury","Tulsa Shock","US Airways Center","Phoenix","AZ",7178
2012,"June 3, 2012","Regular season","New York Liberty","Indiana Fever","Prudential Center","Newark","NJ",4905
2012,"June 3, 2012","Regular season","Minnesota Lynx","San Antonio Silver Stars","Target Center","Minneapolis","MN",7942
2012,"June 3, 2012","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",12639
2012,"June 5, 2012","Regular season","New York Liberty","Atlanta Dream","Prudential Center","Newark","NJ",4823
2012,"June 6, 2012","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",8263
2012,"June 8, 2012","Regular season","Indiana Fever","Connecticut Sun","Bankers Life Fieldhouse","Indianapolis","IN",6041
2012,"June 8, 2012","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",9108
2012,"June 8, 2012","Regular season","Atlanta Dream","San Antonio Silver Stars","Philips Arena","Atlanta","GA",4501
2012,"June 8, 2012","Regular season","Chicago Sky","Tulsa Shock","Allstate Arena","Rosemont","IL",5019
2012,"June 8, 2012","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",11198
2012,"June 9, 2012","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",8187
2012,"June 9, 2012","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",5113
2012,"June 10, 2012","Regular season","New York Liberty","Chicago Sky","Prudential Center","Newark","NJ",5908
2012,"June 10, 2012","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",6526
2012,"June 13, 2012","Regular season","Chicago Sky","Seattle Storm","Allstate Arena","Rosemont","IL",4681
2012,"June 13, 2012","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT",6058
2012,"June 15, 2012","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",6522
2012,"June 15, 2012","Regular season","Washington Mystics","Indiana Fever","Verizon Center","Washington","DC",8050
2012,"June 15, 2012","Regular season","Atlanta Dream","Los Angeles Sparks","Philips Arena","Atlanta","GA",8872
2012,"June 15, 2012","Regular season","Tulsa Shock","Seattle Storm","BOK Center","Tulsa","OK",5100
2012,"June 15, 2012","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",7394
2012,"June 16, 2012","Regular season","Indiana Fever","Chicago Sky","Bankers Life Fieldhouse","Indianapolis","IN",6098
2012,"June 16, 2012","Regular season","San Antonio Stars","Los Angeles Sparks","AT&T Center","San Antonio","TX",8234
2012,"June 17, 2012","Regular season","Atlanta Dream","Connecticut Sun","Philips Arena","Atlanta","GA",4323
2012,"June 17, 2012","Regular season","Tulsa Shock","Phoenix Mercury","BOK Center","Tulsa","OK",4200
2012,"June 17, 2012","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",8349
2012,"June 18, 2012","Regular season","Los Angeles Sparks","Washington Mystics","Staples Center","Los Angeles","CA",8612
2012,"June 19, 2012","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",4134
2012,"June 19, 2012","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",6503
2012,"June 20, 2012","Regular season","Phoenix Mercury","Washington Mystics","US Airways Center","Phoenix","AZ",5751
2012,"June 20, 2012","Regular season","Los Angeles Sparks","Tulsa Shock","Staples Center","Los Angeles","CA",8388
2012,"June 21, 2012","Regular season","Indiana Fever","Connecticut Sun","Bankers Life Fieldhouse","Indianapolis","IN",6326
2012,"June 21, 2012","Regular season","Minnesota Lynx","New York Liberty","Target Center","Minneapolis","MN",9050
2012,"June 22, 2012","Regular season","Seattle Storm","San Antonio Silver Stars","KeyArena","Seattle","WA",6849
2012,"June 23, 2012","Regular season","Minnesota Lynx","Chicago Sky","Target Center","Minneapolis","MN",9267
2012,"June 23, 2012","Regular season","Tulsa Shock","Indiana Fever","BOK Center","Tulsa","OK",4209
2012,"June 23, 2012","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",9670
2012,"June 24, 2012","Regular season","New York Liberty","Atlanta Dream","Prudential Center","Newark","NJ",6754
2012,"June 24, 2012","Regular season","Seattle Storm","Washington Mystics","KeyArena","Seattle","WA",6979
2012,"June 24, 2012","Regular season","Los Angeles Sparks","San Antonio Silver Stars","Staples Center","Los Angeles","CA",11301
2012,"June 26, 2012","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",8388
2012,"June 26, 2012","Regular season","Washington Mystics","Seattle Storm","Verizon Center","Washington","DC",6645
2012,"June 26, 2012","Regular season","Tulsa Shock","Los Angeles Sparks","BOK Center","Tulsa","OK",4102
2012,"June 27, 2012","Regular season","Chicago Sky","Indiana Fever","Allstate Arena","Rosemont","IL",6312
2012,"June 27, 2012","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",9674
2012,"June 28, 2012","Regular season","San Antonio Stars","Los Angeles Sparks","AT&T Center","San Antonio","TX",15184
2012,"June 29, 2012","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",6975
2012,"June 29, 2012","Regular season","Tulsa Shock","Atlanta Dream","BOK Center","Tulsa","OK",4235
2012,"June 29, 2012","Regular season","Chicago Sky","Phoenix Mercury","Allstate Arena","Rosemont","IL",5488
2012,"June 30, 2012","Regular season","New York Liberty","Seattle Storm","Prudential Center","Newark","NJ",6724
2012,"July 1, 2012","Regular season","San Antonio Stars","Minnesota Lynx","AT&T Center","San Antonio","TX",6568
2012,"July 1, 2012","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC",10789
2012,"July 1, 2012","Regular season","Connecticut Sun","Seattle Storm","Mohegan Sun Arena","Uncasville","CT",9201
2012,"July 1, 2012","Regular season","Chicago Sky","Atlanta Dream","Allstate Arena","Rosemont","IL",6093
2012,"July 3, 2012","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",6912
2012,"July 5, 2012","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",11256
2012,"July 5, 2012","Regular season","Indiana Fever","San Antonio Silver Stars","Bankers Life Fieldhouse","Indianapolis","IN",6088
2012,"July 6, 2012","Regular season","Washington Mystics","San Antonio Silver Stars","Verizon Center","Washington","DC",6522
2012,"July 6, 2012","Regular season","Tulsa Shock","Connecticut Sun","BOK Center","Tulsa","OK",4318
2012,"July 6, 2012","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Rosemont","IL",4211
2012,"July 7, 2012","Regular season","Indiana Fever","Chicago Sky","Bankers Life Fieldhouse","Indianapolis","IN",6155
2012,"July 7, 2012","Regular season","Minnesota Lynx","Connecticut Sun","Target Center","Minneapolis","MN",10882
2012,"July 7, 2012","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",12229
2012,"July 7, 2012","Regular season","Phoenix Mercury","Atlanta Dream","US Airways Center","Phoenix","AZ",7948
2012,"July 8, 2012","Regular season","Tulsa Shock","Washington Mystics","BOK Center","Tulsa","OK",4003
2012,"July 8, 2012","Regular season","New York Liberty","San Antonio Silver Stars","Prudential Center","Newark","NJ",7714
2012,"July 8, 2012","Regular season","Los Angeles Sparks","Atlanta Dream","Staples Center","Los Angeles","CA",11019
2012,"July 8, 2012","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",8639
2012,"July 10, 2012","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",12569
2012,"July 10, 2012","Regular season","Indiana Fever","New York Liberty","Bankers Life Fieldhouse","Indianapolis","IN",9216
2012,"July 10, 2012","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",6012
2012,"July 10, 2012","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",9336
2012,"July 11, 2012","Regular season","Chicago Sky","San Antonio Silver Stars","Allstate Arena","Rosemont","IL",13161
2012,"July 11, 2012","Regular season","Seattle Storm","Atlanta Dream","KeyArena","Seattle","WA",9686
2012,"July 11, 2012","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",7804
2012,"July 12, 2012","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",15318
2012,"July 12, 2012","Regular season","Indiana Fever","Los Angeles Sparks","Bankers Life Fieldhouse","Indianapolis","IN",7244
2012,"July 13, 2012","Regular season","New York Liberty","Washington Mystics","Prudential Center","Newark","NJ",14715
2012,"July 13, 2012","Regular season","San Antonio Stars","Atlanta Dream","AT&T Center","San Antonio","TX",13426
2012,"July 13, 2012","Regular season","Chicago Sky","Connecticut Sun","Allstate Arena","Rosemont","IL",5988
2012,"July 13, 2012","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",7647
2012,"August 16, 2012","Regular season","Indiana Fever","Washington Mystics","Bankers Life Fieldhouse","Indianapolis","IN",6834
2012,"August 16, 2012","Regular season","New York Liberty","Connecticut Sun","Prudential Center","Newark","NJ",5865
2012,"August 16, 2012","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",6987
2012,"August 17, 2012","Regular season","Minnesota Lynx","Washington Mystics","Target Center","Minneapolis","MN",10933
2012,"August 17, 2012","Regular season","Tulsa Shock","San Antonio Silver Stars","BOK Center","Tulsa","OK",6270
2012,"August 17, 2012","Regular season","Chicago Sky","Atlanta Dream","Allstate Arena","Rosemont","IL",5593
2012,"August 18, 2012","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",8232
2012,"August 18, 2012","Regular season","Indiana Fever","Atlanta Dream","Bankers Life Fieldhouse","Indianapolis","IN",9302
2012,"August 18, 2012","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",9127
2012,"August 19, 2012","Regular season","Washington Mystics","Chicago Sky","Verizon Center","Washington","DC",8489
2012,"August 19, 2012","Regular season","Phoenix Mercury","San Antonio Silver Stars","US Airways Center","Phoenix","AZ",10656
2012,"August 19, 2012","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",10223
2012,"August 21, 2012","Regular season","Connecticut Sun","Tulsa Shock","Mohegan Sun Arena","Uncasville","CT",6745
2012,"August 21, 2012","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Rosemont","IL",3638
2012,"August 21, 2012","Regular season","San Antonio Stars","Washington Mystics","AT&T Center","San Antonio","TX",5913
2012,"August 21, 2012","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",6169
2012,"August 21, 2012","Regular season","Los Angeles Sparks","Indiana Fever","Staples Center","Los Angeles","CA",8402
2012,"August 22, 2012","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",4010
2012,"August 23, 2012","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ",7039
2012,"August 23, 2012","Regular season","Seattle Storm","Indiana Fever","KeyArena","Seattle","WA",5819
2012,"August 23, 2012","Regular season","Los Angeles Sparks","San Antonio Silver Stars","Staples Center","Los Angeles","CA",8696
2012,"August 24, 2012","Regular season","Washington Mystics","Atlanta Dream","Verizon Center","Washington","DC",9697
2012,"August 24, 2012","Regular season","Tulsa Shock","Chicago Sky","BOK Center","Tulsa","OK",5147
2012,"August 25, 2012","Regular season","Atlanta Dream","Minnesota Lynx","Philips Arena","Atlanta","GA",7224
2012,"August 25, 2012","Regular season","San Antonio Stars","Tulsa Shock","AT&T Center","San Antonio","TX",9029
2012,"August 25, 2012","Regular season","Phoenix Mercury","Indiana Fever","US Airways Center","Phoenix","AZ",9079
