"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2011,"June 3, 2011","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",13589
2011,"June 4, 2011","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",11548
2011,"June 4, 2011","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",6666
2011,"June 4, 2011","Regular season","Indiana Fever","Chicago Sky","Conseco Fieldhouse","Indianapolis","IN",8024
2011,"June 4, 2011","Regular season","San Antonio Stars","Tulsa Shock","AT&T Center","San Antonio","TX",12406
2011,"June 5, 2011","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",8038
2011,"June 5, 2011","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",10123
2011,"June 7, 2011","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",7713
2011,"June 9, 2011","Regular season","Atlanta Dream","Washington Mystics","Philips Arena","Atlanta","GA",5020
2011,"June 9, 2011","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",6291
2011,"June 10, 2011","Regular season","Indiana Fever","New York Liberty","Conseco Fieldhouse","Indianapolis","IN",7703
2011,"June 10, 2011","Regular season","Tulsa Shock","San Antonio Silver Stars","BOK Center","Tulsa","OK",7509
2011,"June 10, 2011","Regular season","Chicago Sky","Connecticut Sun","Allstate Arena","Rosemont","IL",6609
2011,"June 10, 2011","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",10616
2011,"June 11, 2011","Regular season","New York Liberty","Indiana Fever","Prudential Center","Newark","NJ",7835
2011,"June 11, 2011","Regular season","Washington Mystics","Chicago Sky","Verizon Center","Washington","DC",11943
2011,"June 11, 2011","Regular season","San Antonio Stars","Atlanta Dream","AT&T Center","San Antonio","TX",9140
2011,"June 12, 2011","Regular season","Connecticut Sun","Tulsa Shock","Mohegan Sun Arena","Uncasville","CT",6520
2011,"June 14, 2011","Regular season","Indiana Fever","Tulsa Shock","Conseco Fieldhouse","Indianapolis","IN",6024
2011,"June 14, 2011","Regular season","New York Liberty","Atlanta Dream","Prudential Center","Newark","NJ",5725
2011,"June 16, 2011","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",7028
2011,"June 17, 2011","Regular season","Minnesota Lynx","Atlanta Dream","Target Center","Minneapolis","MN",7556
2011,"June 17, 2011","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Rosemont","IL",5718
2011,"June 17, 2011","Regular season","Phoenix Mercury","San Antonio Silver Stars","US Airways Center","Phoenix","AZ",12274
2011,"June 17, 2011","Regular season","Seattle Storm","Indiana Fever","KeyArena","Seattle","WA",8178
2011,"June 18, 2011","Regular season","Tulsa Shock","Washington Mystics","BOK Center","Tulsa","OK",4423
2011,"June 19, 2011","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT",6875
2011,"June 19, 2011","Regular season","Atlanta Dream","Minnesota Lynx","Philips Arena","Atlanta","GA",7274
2011,"June 19, 2011","Regular season","Phoenix Mercury","Indiana Fever","US Airways Center","Phoenix","AZ",7701
2011,"June 19, 2011","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",9119
2011,"June 21, 2011","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",6154
