"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2013,"May 24, 2013","Regular season","San Antonio Stars","Indiana Fever","AT&T Center","San Antonio","TX",8054
2013,"May 25, 2013","Regular season","Atlanta Dream","Tulsa Shock","Philips Arena","Atlanta","GA",7519
2013,"May 25, 2013","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",7672
2013,"May 26, 2013","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",10090
2013,"May 27, 2013","Regular season","Tulsa Shock","Washington Mystics","BOK Center","Tulsa","OK",7381
2013,"May 27, 2013","Regular season","Phoenix Mercury","Chicago Sky","US Airways Center","Phoenix","AZ",10200
2013,"May 31, 2013","Regular season","Indiana Fever","Atlanta Dream","Bankers Life Fieldhouse","Indianapolis","IN",10756
2013,"May 31, 2013","Regular season","New York Liberty","Tulsa Shock","Prudential Center","Newark","NJ",7532
2013,"May 31, 2013","Regular season","Chicago Sky","Connecticut Sun","Allstate Arena","Rosemont","IL",6607
2013,"June 1, 2013","Regular season","Minnesota Lynx","Connecticut Sun","Target Center","Minneapolis","MN",9223
2013,"June 1, 2013","Regular season","San Antonio Stars","Los Angeles Sparks","AT&T Center","San Antonio","TX",6081
2013,"June 2, 2013","Regular season","Washington Mystics","Atlanta Dream","Verizon Center","Washington","DC",8938
2013,"June 2, 2013","Regular season","Chicago Sky","Tulsa Shock","Allstate Arena","Rosemont","IL",6811
2013,"June 2, 2013","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",9686
2013,"June 5, 2013","Regular season","New York Liberty","Indiana Fever","Prudential Center","Newark","NJ",7617
2013,"June 6, 2013","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",8511
2013,"June 7, 2013","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",6150
2013,"June 7, 2013","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",6173
2013,"June 7, 2013","Regular season","San Antonio Stars","Chicago Sky","AT&T Center","San Antonio","TX",6244
2013,"June 7, 2013","Regular season","Seattle Storm","Tulsa Shock","KeyArena","Seattle","WA",6879
2013,"June 8, 2013","Regular season","Indiana Fever","Phoenix Mercury","Bankers Life Fieldhouse","Indianapolis","IN",8672
2013,"June 8, 2013","Regular season","Washington Mystics","Minnesota Lynx","Verizon Center","Washington","DC",7870
2013,"June 8, 2013","Regular season","Los Angeles Sparks","Tulsa Shock","Staples Center","Los Angeles","CA",6110
2013,"June 9, 2013","Regular season","New York Liberty","Atlanta Dream","Prudential Center","Newark","NJ",5933
2013,"June 9, 2013","Regular season","Chicago Sky","San Antonio Silver Stars","Allstate Arena","Rosemont","IL",4293
2013,"June 11, 2013","Regular season","Minnesota Lynx","San Antonio Silver Stars","Target Center","Minneapolis","MN",7913
2013,"June 12, 2013","Regular season","Indiana Fever","Connecticut Sun","Bankers Life Fieldhouse","Indianapolis","IN",6283
2013,"June 14, 2013","Regular season","Atlanta Dream","Seattle Storm","Philips Arena","Atlanta","GA",4960
2013,"June 14, 2013","Regular season","New York Liberty","Connecticut Sun","Prudential Center","Newark","NJ",5845
2013,"June 14, 2013","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",5273
2013,"June 14, 2013","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",13065
2013,"June 15, 2013","Regular season","Los Angeles Sparks","San Antonio Silver Stars","Staples Center","Los Angeles","CA",6980
2013,"June 16, 2013","Regular season","Washington Mystics","Indiana Fever","Verizon Center","Washington","DC",6649
2013,"June 16, 2013","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",5552
2013,"June 16, 2013","Regular season","Tulsa Shock","Phoenix Mercury","BOK Center","Tulsa","OK",4206
2013,"June 16, 2013","Regular season","Connecticut Sun","Seattle Storm","Mohegan Sun Arena","Uncasville","CT",6550
2013,"June 18, 2013","Regular season","Seattle Storm","Washington Mystics","KeyArena","Seattle","WA",4579
2013,"June 19, 2013","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",8464
2013,"June 20, 2013","Regular season","Tulsa Shock","Chicago Sky","BOK Center","Tulsa","OK",4161
2013,"June 21, 2013","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",7009
2013,"June 21, 2013","Regular season","Phoenix Mercury","Washington Mystics","US Airways Center","Phoenix","AZ",9636
2013,"June 21, 2013","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",6490
2013,"June 22, 2013","Regular season","Indiana Fever","Chicago Sky","Bankers Life Fieldhouse","Indianapolis","IN",7934
2013,"June 22, 2013","Regular season","Tulsa Shock","Seattle Storm","BOK Center","Tulsa","OK",4327
2013,"June 23, 2013","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",7557
2013,"June 23, 2013","Regular season","New York Liberty","San Antonio Silver Stars","Prudential Center","Newark","NJ",6123
2013,"June 23, 2013","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",8423
2013,"June 23, 2013","Regular season","Los Angeles Sparks","Washington Mystics","Staples Center","Los Angeles","CA",9651
2013,"June 25, 2013","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",10155
2013,"June 25, 2013","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",9007
2013,"June 26, 2013","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Rosemont","IL",8911
2013,"June 27, 2013","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC",7950
2013,"June 28, 2013","Regular season","Indiana Fever","Tulsa Shock","Bankers Life Fieldhouse","Indianapolis","IN",6957
2013,"June 28, 2013","Regular season","Atlanta Dream","Washington Mystics","Philips Arena","Atlanta","GA",5512
2013,"June 28, 2013","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",8814
2013,"June 28, 2013","Regular season","Seattle Storm","New York Liberty","KeyArena","Seattle","WA",7687
2013,"June 29, 2013","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT",9110
2013,"June 29, 2013","Regular season","Chicago Sky","Los Angeles Sparks","Allstate Arena","Rosemont","IL",6885
2013,"June 30, 2013","Regular season","Atlanta Dream","San Antonio Silver Stars","Philips Arena","Atlanta","GA",5359
2013,"June 30, 2013","Regular season","Washington Mystics","Tulsa Shock","Verizon Center","Washington","DC",6511
2013,"June 30, 2013","Regular season","Indiana Fever","Seattle Storm","Bankers Life Fieldhouse","Indianapolis","IN",6355
2013,"July 2, 2013","Regular season","Connecticut Sun","Tulsa Shock","Mohegan Sun Arena","Uncasville","CT",5701
2013,"July 2, 2013","Regular season","Chicago Sky","Seattle Storm","Allstate Arena","Rosemont","IL",5808
2013,"July 2, 2013","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ",7636
2013,"July 2, 2013","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",7856
2013,"July 4, 2013","Regular season","Los Angeles Sparks","New York Liberty","Staples Center","Los Angeles","CA",8565
2013,"July 6, 2013","Regular season","Los Angeles Sparks","San Antonio Silver Stars","Staples Center","Los Angeles","CA",9807
2013,"July 6, 2013","Regular season","Indiana Fever","Connecticut Sun","Bankers Life Fieldhouse","Indianapolis","IN",6383
2013,"July 6, 2013","Regular season","Washington Mystics","Seattle Storm","Verizon Center","Washington","DC",6174
2013,"July 7, 2013","Regular season","New York Liberty","Chicago Sky","Prudential Center","Newark","NJ",7127
2013,"July 7, 2013","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",9104
2013,"July 9, 2013","Regular season","New York Liberty","Seattle Storm","Prudential Center","Newark","NJ",5766
2013,"July 9, 2013","Regular season","Minnesota Lynx","Atlanta Dream","Target Center","Minneapolis","MN",8623
2013,"July 10, 2013","Regular season","Chicago Sky","Washington Mystics","Allstate Arena","Rosemont","IL",14201
2013,"July 10, 2013","Regular season","Phoenix Mercury","San Antonio Silver Stars","US Airways Center","Phoenix","AZ",8707
2013,"July 11, 2013","Regular season","Indiana Fever","Minnesota Lynx","Bankers Life Fieldhouse","Indianapolis","IN",10230
2013,"July 11, 2013","Regular season","Tulsa Shock","Los Angeles Sparks","BOK Center","Tulsa","OK",6278
2013,"July 12, 2013","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT",6285
2013,"July 12, 2013","Regular season","San Antonio Stars","Washington Mystics","AT&T Center","San Antonio","TX",11268
2013,"July 13, 2013","Regular season","New York Liberty","Indiana Fever","Prudential Center","Newark","NJ",6772
2013,"July 13, 2013","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",6171
2013,"July 14, 2013","Regular season","Connecticut Sun","San Antonio Silver Stars","Mohegan Sun Arena","Uncasville","CT",6335
2013,"July 14, 2013","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",8233
2013,"July 14, 2013","Regular season","Seattle Storm","Atlanta Dream","KeyArena","Seattle","WA",6479
2013,"July 16, 2013","Regular season","Washington Mystics","San Antonio Silver Stars","Verizon Center","Washington","DC",6843
2013,"July 17, 2013","Regular season","Seattle Storm","Tulsa Shock","KeyArena","Seattle","WA",9686
2013,"July 17, 2013","Regular season","Los Angeles Sparks","Atlanta Dream","Staples Center","Los Angeles","CA",10876
2013,"July 18, 2013","Regular season","New York Liberty","Chicago Sky","Prudential Center","Newark","NJ",12858
2013,"July 18, 2013","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",11105
2013,"July 19, 2013","Regular season","Indiana Fever","Washington Mystics","Bankers Life Fieldhouse","Indianapolis","IN",6434
2013,"July 19, 2013","Regular season","San Antonio Stars","Minnesota Lynx","AT&T Center","San Antonio","TX",7105
2013,"July 19, 2013","Regular season","Tulsa Shock","Connecticut Sun","BOK Center","Tulsa","OK",5294
2013,"July 20, 2013","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Rosemont","IL",6037
2013,"July 20, 2013","Regular season","San Antonio Stars","Connecticut Sun","AT&T Center","San Antonio","TX",8375
2013,"July 20, 2013","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",6357
2013,"July 21, 2013","Regular season","Washington Mystics","Indiana Fever","Verizon Center","Washington","DC",6516
2013,"July 21, 2013","Regular season","Tulsa Shock","Atlanta Dream","BOK Center","Tulsa","OK",4107
2013,"July 21, 2013","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",9806
2013,"July 23, 2013","Regular season","Indiana Fever","New York Liberty","Bankers Life Fieldhouse","Indianapolis","IN",7577
2013,"July 24, 2013","Regular season","Washington Mystics","Chicago Sky","Verizon Center","Washington","DC",14411
2013,"July 24, 2013","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",16404
2013,"July 24, 2013","Regular season","Atlanta Dream","Connecticut Sun","Philips Arena","Atlanta","GA",4434
2013,"July 25, 2013","Regular season","San Antonio Stars","New York Liberty","AT&T Center","San Antonio","TX",12086
2013,"July 25, 2013","Regular season","Tulsa Shock","Indiana Fever","BOK Center","Tulsa","OK",5018
2013,"July 25, 2013","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",12651
2013,"July 31, 2013","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",6711
2013,"August 1, 2013","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",4971
2013,"August 1, 2013","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",6457
2013,"August 2, 2013","Regular season","Minnesota Lynx","San Antonio Silver Stars","Target Center","Minneapolis","MN",8733
2013,"August 2, 2013","Regular season","Tulsa Shock","Los Angeles Sparks","BOK Center","Tulsa","OK",6168
