"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2001,"July 14, 2001","Regular season","Miami Sol","Detroit Shock","AmericanAirlines Arena","Miami","FL",8398
2001,"July 14, 2001","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",6373
2001,"July 14, 2001","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT",5923
2001,"July 14, 2001","Regular season","Washington Mystics","Los Angeles Sparks","Verizon Center","Washington","DC",19093
2001,"July 18, 2001","Regular season","Indiana Fever","Utah Starzz","Conseco Fieldhouse","Indianapolis","IN",7347
2001,"July 18, 2001","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI",13378
2001,"July 18, 2001","Regular season","Miami Sol","Charlotte Sting","AmericanAirlines Arena","Miami","FL",6796
2001,"July 18, 2001","Regular season","Orlando Miracle","Houston Comets","Amway Arena","Orlando","FL",6170
2001,"July 18, 2001","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",5627
2001,"July 19, 2001","Regular season","Phoenix Mercury","Portland Fire","US Airways Center","Phoenix","AZ",8232
2001,"July 19, 2001","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH",10121
2001,"July 19, 2001","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",8364
2001,"July 20, 2001","Regular season","Indiana Fever","Washington Mystics","Conseco Fieldhouse","Indianapolis","IN",7493
2001,"July 20, 2001","Regular season","Miami Sol","Houston Comets","AmericanAirlines Arena","Miami","FL",8021
2001,"July 20, 2001","Regular season","Seattle Storm","Portland Fire","KeyArena","Seattle","WA",9232
2001,"July 20, 2001","Regular season","Charlotte Sting","Orlando Miracle","Spectrum Center","Charlotte","NC",5318
2001,"July 21, 2001","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",11519
2001,"July 21, 2001","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ",8378
2001,"July 21, 2001","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH",8035
2001,"July 21, 2001","Regular season","Sacramento Monarchs","Detroit Shock","ARCO Arena","Sacramento","CA",9365
