"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2016,"May 14, 2016","Regular season","Indiana Fever","Dallas Wings","Bankers Life Fieldhouse","Indianapolis","IN",8569
2016,"May 14, 2016","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",11579
2016,"May 14, 2016","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",9221
2016,"May 14, 2016","Regular season","Chicago Sky","Connecticut Sun","Allstate Arena","Rosemont","IL",6719
2016,"May 14, 2016","Regular season","San Antonio Stars","Atlanta Dream","AT&T Center","San Antonio","TX",7572
2016,"May 15, 2016","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",10591
2016,"May 15, 2016","Regular season","New York Liberty","Dallas Wings","Madison Square Garden","New York","NY",10120
2016,"May 18, 2016","Regular season","Chicago Sky","Minnesota Lynx","Allstate Arena","Rosemont","IL",5034
2016,"May 18, 2016","Regular season","Washington Mystics","Dallas Wings","Verizon Center","Washington","DC",5618
2016,"May 18, 2016","Regular season","Indiana Fever","Phoenix Mercury","Bankers Life Fieldhouse","Indianapolis","IN",6749
2016,"May 19, 2016","Regular season","San Antonio Stars","Connecticut Sun","AT&T Center","San Antonio","TX",6267
2016,"May 20, 2016","Regular season","Washington Mystics","Los Angeles Sparks","Verizon Center","Washington","DC",7807
2016,"May 20, 2016","Regular season","Indiana Fever","Atlanta Dream","Bankers Life Fieldhouse","Indianapolis","IN",7608
2016,"May 20, 2016","Regular season","Phoenix Mercury","Seattle Storm","Talking Stick Resort Arena","Phoenix","AZ",13048
2016,"May 21, 2016","Regular season","New York Liberty","Los Angeles Sparks","Madison Square Garden","New York","NY",9417
2016,"May 21, 2016","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",6022
2016,"May 21, 2016","Regular season","Dallas Wings","San Antonio Stars","College Park Center","Arlington","TX",7275
2016,"May 22, 2016","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",6152
2016,"May 22, 2016","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",9686
2016,"May 24, 2016","Regular season","New York Liberty","Atlanta Dream","Madison Square Garden","New York","NY",14503
