"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
1999,"June 10, 1999","Regular season","Washington Mystics","Charlotte Sting","Verizon Center","Washington","DC",20674
1999,"June 10, 1999","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY",12411
1999,"June 10, 1999","Regular season","Orlando Miracle","Houston Comets","Amway Arena","Orlando","FL",15422
1999,"June 10, 1999","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA",8262
1999,"June 12, 1999","Regular season","Houston Comets","Washington Mystics","Compaq Center","Houston","TX",16285
1999,"June 12, 1999","Regular season","Cleveland Rockers","Los Angeles Sparks","Quicken Loans Arena","Cleveland","OH",15731
1999,"June 12, 1999","Regular season","Charlotte Sting","New York Liberty","Spectrum Center","Charlotte","NC",8150
1999,"June 12, 1999","Regular season","Minnesota Lynx","Detroit Shock","Target Center","Minneapolis","MN",12122
1999,"June 12, 1999","Regular season","Utah Starzz","Orlando Miracle","EnergySolutions Arena","Salt Lake City","UT",14783
1999,"June 12, 1999","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA",11221
1999,"June 14, 1999","Regular season","Cleveland Rockers","Detroit Shock","Quicken Loans Arena","Cleveland","OH",5895
1999,"June 14, 1999","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",12563
1999,"June 14, 1999","Regular season","Minnesota Lynx","Utah Starzz","Target Center","Minneapolis","MN",8457
1999,"June 14, 1999","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ",13228
1999,"June 15, 1999","Regular season","Orlando Miracle","Los Angeles Sparks","Amway Arena","Orlando","FL",7588
1999,"June 17, 1999","Regular season","Detroit Shock","Orlando Miracle","Palace of Auburn Hills","Detroit","MI",10745
1999,"June 17, 1999","Regular season","Houston Comets","Utah Starzz","Compaq Center","Houston","TX",10160
1999,"June 17, 1999","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA",5833
1999,"June 18, 1999","Regular season","New York Liberty","Los Angeles Sparks","Madison Square Garden","New York","NY",13587
1999,"June 18, 1999","Regular season","Washington Mystics","Detroit Shock","Verizon Center","Washington","DC",13423
1999,"June 19, 1999","Regular season","Charlotte Sting","Los Angeles Sparks","Spectrum Center","Charlotte","NC",6116
1999,"June 19, 1999","Regular season","Orlando Miracle","Washington Mystics","Amway Arena","Orlando","FL",10218
1999,"June 19, 1999","Regular season","Minnesota Lynx","Houston Comets","Target Center","Minneapolis","MN",11056
1999,"June 19, 1999","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT",6147
1999,"June 19, 1999","Regular season","Phoenix Mercury","Cleveland Rockers","US Airways Center","Phoenix","AZ",13024
1999,"June 20, 1999","Regular season","New York Liberty","Detroit Shock","Madison Square Garden","New York","NY",11902
1999,"June 21, 1999","Regular season","Orlando Miracle","Phoenix Mercury","Amway Arena","Orlando","FL",7771
1999,"June 22, 1999","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC",11060
1999,"June 22, 1999","Regular season","Cleveland Rockers","Orlando Miracle","Quicken Loans Arena","Cleveland","OH",6676
1999,"June 22, 1999","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI",7212
1999,"June 22, 1999","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX",10479
1999,"June 22, 1999","Regular season","Sacramento Monarchs","Minnesota Lynx","ARCO Arena","Sacramento","CA",5038
1999,"June 24, 1999","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA",7306
1999,"June 24, 1999","Regular season","Charlotte Sting","Phoenix Mercury","Spectrum Center","Charlotte","NC",4514
1999,"June 24, 1999","Regular season","Detroit Shock","Houston Comets","Palace of Auburn Hills","Detroit","MI",7448
1999,"June 24, 1999","Regular season","Los Angeles Sparks","Minnesota Lynx","Great Western Forum","Los Angeles","CA",8376
1999,"June 25, 1999","Regular season","Washington Mystics","Houston Comets","Verizon Center","Washington","DC",19458
1999,"June 25, 1999","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH",7255
1999,"June 26, 1999","Regular season","Detroit Shock","Phoenix Mercury","Palace of Auburn Hills","Detroit","MI",7651
1999,"June 26, 1999","Regular season","Cleveland Rockers","Washington Mystics","Quicken Loans Arena","Cleveland","OH",8441
1999,"June 26, 1999","Regular season","Utah Starzz","Minnesota Lynx","EnergySolutions Arena","Salt Lake City","UT",5705
1999,"June 26, 1999","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",9216
1999,"June 27, 1999","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY",13337
1999,"June 28, 1999","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH",9752
1999,"June 28, 1999","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI",7194
1999,"June 28, 1999","Regular season","Houston Comets","Orlando Miracle","Compaq Center","Houston","TX",10204
1999,"June 28, 1999","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA",6259
1999,"June 29, 1999","Regular season","Minnesota Lynx","Sacramento Monarchs","Target Center","Minneapolis","MN",8484
1999,"June 30, 1999","Regular season","Charlotte Sting","Washington Mystics","Spectrum Center","Charlotte","NC",7454
1999,"June 30, 1999","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT",6827
1999,"July 1, 1999","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY",13739
1999,"July 1, 1999","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",8536
1999,"July 1, 1999","Regular season","Houston Comets","Cleveland Rockers","Compaq Center","Houston","TX",9059
1999,"July 2, 1999","Regular season","Detroit Shock","Los Angeles Sparks","Palace of Auburn Hills","Detroit","MI",7681
1999,"July 2, 1999","Regular season","Washington Mystics","Sacramento Monarchs","Verizon Center","Washington","DC",14176
1999,"July 2, 1999","Regular season","Utah Starzz","Cleveland Rockers","EnergySolutions Arena","Salt Lake City","UT",4648
1999,"July 3, 1999","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX",12003
1999,"July 3, 1999","Regular season","Orlando Miracle","Charlotte Sting","Amway Arena","Orlando","FL",10005
1999,"July 3, 1999","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",9560
1999,"July 4, 1999","Regular season","Detroit Shock","Sacramento Monarchs","Palace of Auburn Hills","Detroit","MI",6827
1999,"July 5, 1999","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY",10940
1999,"July 5, 1999","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA",5947
1999,"July 6, 1999","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",12701
1999,"July 6, 1999","Regular season","Houston Comets","Minnesota Lynx","Compaq Center","Houston","TX",9808
1999,"July 6, 1999","Regular season","Utah Starzz","Detroit Shock","EnergySolutions Arena","Salt Lake City","UT",4692
1999,"July 7, 1999","Regular season","Charlotte Sting","Cleveland Rockers","Spectrum Center","Charlotte","NC",4760
1999,"July 7, 1999","Regular season","Orlando Miracle","Minnesota Lynx","Amway Arena","Orlando","FL",7229
1999,"July 7, 1999","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",11366
1999,"July 8, 1999","Regular season","Washington Mystics","Utah Starzz","Verizon Center","Washington","DC",12515
1999,"July 8, 1999","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH",8018
