"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2024,"May 14, 2024","Regular season","Washington Mystics","New York Liberty","Entertainment and Sports Arena","Washington","DC",4200
2024,"May 14, 2024","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",8910
2024,"May 14, 2024","Regular season","Las Vegas Aces","Phoenix Mercury","Michelob ULTRA Arena","Las Vegas","NV",10419
2024,"May 14, 2024","Regular season","Seattle Storm","Minnesota Lynx","Climate Pledge Arena","Seattle","WA",8508
2024,"May 15, 2024","Regular season","Dallas Wings","Chicago Sky","College Park Center","Arlington","TX",6251
2024,"May 15, 2024","Regular season","Los Angeles Sparks","Atlanta Dream","Walter Pyramid at Long Beach State","Long Beach","CA",3847
2024,"May 16, 2024","Regular season","Indiana Fever","New York Liberty","Gainbridge Fieldhouse","Indianapolis","IN",17274
2024,"May 17, 2024","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",6874
2024,"May 17, 2024","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",7208
2024,"May 18, 2024","Regular season","New York Liberty","Indiana Fever","Barclays Center","Brooklyn","NY",17735
2024,"May 18, 2024","Regular season","Las Vegas Aces","Los Angeles Sparks","Michelob ULTRA Arena","Las Vegas","NV",10286
2024,"May 18, 2024","Regular season","Dallas Wings","Chicago Sky","College Park Center","Arlington","TX",6251
2024,"May 18, 2024","Regular season","Phoenix Mercury","Atlanta Dream","Footprint Center","Phoenix","AZ",10251
2024,"May 19, 2024","Regular season","Washington Mystics","Seattle Storm","Entertainment and Sports Arena","Washington","DC",4200
2024,"May 20, 2024","Regular season","Indiana Fever","Connecticut Sun","Gainbridge Fieldhouse","Indianapolis","IN",17274
2024,"May 20, 2024","Regular season","New York Liberty","Seattle Storm","Barclays Center","Brooklyn","NY",9381
2024,"May 21, 2024","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA",3265
2024,"May 21, 2024","Regular season","Las Vegas Aces","Phoenix Mercury","Michelob ULTRA Arena","Las Vegas","NV",10374
2024,"May 21, 2024","Regular season","Los Angeles Sparks","Washington Mystics","Walter Pyramid at Long Beach State","Long Beach","CA",3627
2024,"May 22, 2024","Regular season","Seattle Storm","Indiana Fever","Climate Pledge Arena","Seattle","WA",18343
2024,"May 23, 2024","Regular season","Connecticut Sun","Minnesota Lynx","Mohegan Sun Arena","Uncasville","CT",6152
2024,"May 23, 2024","Regular season","New York Liberty","Chicago Sky","Barclays Center","Brooklyn","NY",12049
2024,"May 23, 2024","Regular season","Phoenix Mercury","Washington Mystics","Footprint Center","Phoenix","AZ",7474
2024,"May 24, 2024","Regular season","Los Angeles Sparks","Indiana Fever","Crypto.com Arena","Los Angeles","CA",19103
2024,"May 25, 2024","Regular season","Minnesota Lynx","New York Liberty","Target Center","Minneapolis","MN",7010
2024,"May 25, 2024","Regular season","Chicago Sky","Connecticut Sun","Wintrust Arena","Chicago","IL",9025
2024,"May 25, 2024","Regular season","Las Vegas Aces","Indiana Fever","Michelob ULTRA Arena","Las Vegas","NV",10399
2024,"May 25, 2024","Regular season","Seattle Storm","Washington Mystics","Climate Pledge Arena","Seattle","WA",8846
2024,"May 25, 2024","Regular season","Phoenix Mercury","Dallas Wings","Footprint Center","Phoenix","AZ",8339
2024,"May 26, 2024","Regular season","Atlanta Dream","Minnesota Lynx","Gateway Center Arena @ College Park","Atlanta","GA",3265
2024,"May 26, 2024","Regular season","Los Angeles Sparks","Dallas Wings","Crypto.com Arena","Los Angeles","CA",10340
2024,"May 28, 2024","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT",6489
2024,"May 28, 2024","Regular season","Indiana Fever","Los Angeles Sparks","Gainbridge Fieldhouse","Indianapolis","IN",16013
2024,"May 28, 2024","Regular season","Chicago Sky","Seattle Storm","Wintrust Arena","Chicago","IL",7807
2024,"May 29, 2024","Regular season","New York Liberty","Phoenix Mercury","Barclays Center","Brooklyn","NY",9182
2024,"May 29, 2024","Regular season","Washington Mystics","Atlanta Dream","Entertainment and Sports Arena","Washington","DC",4200
2024,"May 29, 2024","Regular season","Minnesota Lynx","Las Vegas Aces","Target Center","Minneapolis","MN",7409
2024,"May 30, 2024","Regular season","Indiana Fever","Seattle Storm","Gainbridge Fieldhouse","Indianapolis","IN",15022
2024,"May 30, 2024","Regular season","Chicago Sky","Los Angeles Sparks","Wintrust Arena","Chicago","IL",7911
2024,"May 31, 2024","Regular season","Atlanta Dream","Las Vegas Aces","Gateway Center Arena @ College Park","Atlanta","GA",4015
2024,"May 31, 2024","Regular season","Connecticut Sun","Dallas Wings","Mohegan Sun Arena","Uncasville","CT",7638
2024,"May 31, 2024","Regular season","New York Liberty","Washington Mystics","Barclays Center","Brooklyn","NY",9878
2024,"May 31, 2024","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",7035
2024,"June 1, 2024","Regular season","Indiana Fever","Chicago Sky","Gainbridge Fieldhouse","Indianapolis","IN",17274
2024,"June 2, 2024","Regular season","Atlanta Dream","Connecticut Sun","Gateway Center Arena @ College Park","Atlanta","GA",3265
2024,"June 2, 2024","Regular season","Phoenix Mercury","Los Angeles Sparks","Footprint Center","Phoenix","AZ",10207
2024,"June 2, 2024","Regular season","New York Liberty","Indiana Fever","Barclays Center","Brooklyn","NY",17401
2024,"June 2, 2024","Regular season","Minnesota Lynx","Dallas Wings","Target Center","Minneapolis","MN",7024
2024,"June 4, 2024","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",5346
2024,"June 4, 2024","Regular season","Chicago Sky","New York Liberty","Wintrust Arena","Chicago","IL",8277
2024,"June 4, 2024","Regular season","Seattle Storm","Phoenix Mercury","Climate Pledge Arena","Seattle","WA",8133
2024,"June 5, 2024","Regular season","Dallas Wings","Las Vegas Aces","College Park Center","Arlington","TX",6251
2024,"June 5, 2024","Regular season","Los Angeles Sparks","Minnesota Lynx","Crypto.com Arena","Los Angeles","CA",8104
2024,"June 6, 2024","Regular season","Washington Mystics","Chicago Sky","Capital One Arena","Washington","DC",10000
2024,"June 6, 2024","Regular season","Atlanta Dream","New York Liberty","Gateway Center Arena @ College Park","Atlanta","GA",3255
