"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2010,"May 15, 2010","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",14772
2010,"May 15, 2010","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT",8072
2010,"May 15, 2010","Regular season","Indiana Fever","Washington Mystics","Conseco Fieldhouse","Indianapolis","IN",9752
2010,"May 15, 2010","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",7806
2010,"May 15, 2010","Regular season","San Antonio Stars","Atlanta Dream","AT&T Center","San Antonio","TX",9409
2010,"May 16, 2010","Regular season","New York Liberty","Chicago Sky","Madison Square Garden","New York","NY",12088
2010,"May 16, 2010","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",7337
2010,"May 16, 2010","Regular season","Minnesota Lynx","Washington Mystics","Target Center","Minneapolis","MN",9985
2010,"May 16, 2010","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",9686
2010,"May 19, 2010","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",6687
2010,"May 20, 2010","Regular season","Tulsa Shock","San Antonio Silver Stars","BOK Center","Tulsa","OK",4636
2010,"May 21, 2010","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",10158
2010,"May 21, 2010","Regular season","Atlanta Dream","Connecticut Sun","Philips Arena","Atlanta","GA",4092
2010,"May 22, 2010","Regular season","Chicago Sky","Indiana Fever","Allstate Arena","Chicago","IL",6477
2010,"May 22, 2010","Regular season","San Antonio Stars","Los Angeles Sparks","AT&T Center","San Antonio","TX",7862
2010,"May 22, 2010","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",10144
2010,"May 23, 2010","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",7614
2010,"May 23, 2010","Regular season","New York Liberty","Atlanta Dream","Madison Square Garden","New York","NY",9548
2010,"May 23, 2010","Regular season","Indiana Fever","Chicago Sky","Conseco Fieldhouse","Indianapolis","IN",7665
2010,"May 23, 2010","Regular season","Minnesota Lynx","Tulsa Shock","Target Center","Minneapolis","MN",6822
2010,"May 25, 2010","Regular season","Tulsa Shock","Phoenix Mercury","BOK Center","Tulsa","OK",4100
2010,"May 25, 2010","Regular season","Seattle Storm","Washington Mystics","KeyArena","Seattle","WA",6612
2010,"May 27, 2010","Regular season","Connecticut Sun","Minnesota Lynx","Mohegan Sun Arena","Uncasville","CT",6401
2010,"May 27, 2010","Regular season","Chicago Sky","Seattle Storm","Allstate Arena","Chicago","IL",2923
2010,"May 28, 2010","Regular season","San Antonio Stars","New York Liberty","AT&T Center","San Antonio","TX",5293
2010,"May 28, 2010","Regular season","Phoenix Mercury","Atlanta Dream","US Airways Center","Phoenix","AZ",7986
2010,"May 28, 2010","Regular season","Los Angeles Sparks","Washington Mystics","Staples Center","Los Angeles","CA",13154
2010,"May 29, 2010","Regular season","Minnesota Lynx","Chicago Sky","Target Center","Minneapolis","MN",6129
2010,"May 29, 2010","Regular season","Tulsa Shock","Indiana Fever","BOK Center","Tulsa","OK",4005
2010,"May 30, 2010","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",4924
2010,"May 30, 2010","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",8602
2010,"May 30, 2010","Regular season","Los Angeles Sparks","Atlanta Dream","Staples Center","Los Angeles","CA",8404
2010,"June 1, 2010","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",6854
2010,"June 1, 2010","Regular season","Seattle Storm","Atlanta Dream","KeyArena","Seattle","WA",7586
2010,"June 3, 2010","Regular season","Indiana Fever","San Antonio Silver Stars","Conseco Fieldhouse","Indianapolis","IN",7574
2010,"June 4, 2010","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",5655
2010,"June 4, 2010","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",6493
2010,"June 4, 2010","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",4521
2010,"June 4, 2010","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",6485
2010,"June 5, 2010","Regular season","Washington Mystics","Atlanta Dream","Verizon Center","Washington","DC",8986
2010,"June 5, 2010","Regular season","Indiana Fever","New York Liberty","Conseco Fieldhouse","Indianapolis","IN",8090
2010,"June 5, 2010","Regular season","Chicago Sky","Tulsa Shock","Allstate Arena","Chicago","IL",4549
2010,"June 5, 2010","Regular season","Los Angeles Sparks","Seattle Storm","Home Depot Center Tennis Stadium","Carson","CA",6026
2010,"June 6, 2010","Regular season","Connecticut Sun","San Antonio Silver Stars","Mohegan Sun Arena","Uncasville","CT",6292
2010,"June 6, 2010","Regular season","Minnesota Lynx","Indiana Fever","Target Center","Minneapolis","MN",6444
2010,"June 6, 2010","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",7827
2010,"June 8, 2010","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Chicago","IL",2408
2010,"June 8, 2010","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",7993
2010,"June 10, 2010","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",5506
2010,"June 11, 2010","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",7603
2010,"June 11, 2010","Regular season","New York Liberty","Atlanta Dream","Madison Square Garden","New York","NY",8332
2010,"June 11, 2010","Regular season","San Antonio Stars","Tulsa Shock","AT&T Center","San Antonio","TX",7076
2010,"June 11, 2010","Regular season","Chicago Sky","Washington Mystics","Allstate Arena","Chicago","IL",3107
2010,"June 11, 2010","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",7286
2010,"June 12, 2010","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",8492
2010,"June 12, 2010","Regular season","Phoenix Mercury","Tulsa Shock","US Airways Center","Phoenix","AZ",6580
2010,"June 13, 2010","Regular season","Atlanta Dream","San Antonio Silver Stars","Philips Arena","Atlanta","GA",6050
2010,"June 13, 2010","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",7005
2010,"June 13, 2010","Regular season","Indiana Fever","Connecticut Sun","Conseco Fieldhouse","Indianapolis","IN",7302
2010,"June 15, 2010","Regular season","Chicago Sky","Atlanta Dream","Allstate Arena","Chicago","IL",3292
2010,"June 17, 2010","Regular season","Indiana Fever","Seattle Storm","Conseco Fieldhouse","Indianapolis","IN",7520
2010,"June 18, 2010","Regular season","New York Liberty","Seattle Storm","Madison Square Garden","New York","NY",8883
