"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2009,"June 6, 2009","Regular season","Los Angeles Sparks","Detroit Shock","Staples Center","Los Angeles","CA",13154
2009,"June 6, 2009","Regular season","Sacramento Monarchs","Seattle Storm","ARCO Arena","Sacramento","CA",14824
2009,"June 6, 2009","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",7191
2009,"June 6, 2009","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",8709
2009,"June 6, 2009","Regular season","Minnesota Lynx","Chicago Sky","Target Center","Minneapolis","MN",8708
2009,"June 6, 2009","Regular season","Phoenix Mercury","San Antonio Silver Stars","US Airways Center","Phoenix","AZ",13582
2009,"June 7, 2009","Regular season","New York Liberty","Connecticut Sun","Madison Square Garden","New York","NY",13397
2009,"June 7, 2009","Regular season","Washington Mystics","Atlanta Dream","Verizon Center","Washington","DC",11759
2009,"June 7, 2009","Regular season","Indiana Fever","Minnesota Lynx","Conseco Fieldhouse","Indianapolis","IN",9234
2009,"June 7, 2009","Regular season","Seattle Storm","Sacramento Monarchs","KeyArena","Seattle","WA",9686
2009,"June 8, 2009","Regular season","Detroit Shock","Los Angeles Sparks","Palace of Auburn Hills","Detroit","MI",13915
2009,"June 9, 2009","Regular season","Indiana Fever","Seattle Storm","Conseco Fieldhouse","Indianapolis","IN",7253
2009,"June 10, 2009","Regular season","Detroit Shock","Washington Mystics","Palace of Auburn Hills","Detroit","MI",7329
2009,"June 10, 2009","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",7444
2009,"June 10, 2009","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ",5080
2009,"June 12, 2009","Regular season","Indiana Fever","Los Angeles Sparks","Conseco Fieldhouse","Indianapolis","IN",9320
2009,"June 12, 2009","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",6423
2009,"June 12, 2009","Regular season","Chicago Sky","Atlanta Dream","UIC Pavilion","Chicago","IL",5689
2009,"June 12, 2009","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA",6438
2009,"June 13, 2009","Regular season","San Antonio Stars","New York Liberty","AT&T Center","San Antonio","TX",10572
2009,"June 13, 2009","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ",7173
2009,"June 14, 2009","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",6429
2009,"June 14, 2009","Regular season","Chicago Sky","Seattle Storm","UIC Pavilion","Chicago","IL",2681
2009,"June 16, 2009","Regular season","Chicago Sky","Connecticut Sun","UIC Pavilion","Chicago","IL",2396
2009,"June 16, 2009","Regular season","Sacramento Monarchs","Minnesota Lynx","ARCO Arena","Sacramento","CA",7736
2009,"June 17, 2009","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",6524
2009,"June 19, 2009","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT",5892
2009,"June 19, 2009","Regular season","New York Liberty","San Antonio Silver Stars","Madison Square Garden","New York","NY",8046
2009,"June 19, 2009","Regular season","Atlanta Dream","Washington Mystics","Philips Arena","Atlanta","GA",6050
2009,"June 19, 2009","Regular season","Detroit Shock","Indiana Fever","Palace of Auburn Hills","Detroit","MI",7725
2009,"June 19, 2009","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",7607
2009,"June 19, 2009","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",8255
2009,"June 20, 2009","Regular season","Washington Mystics","Chicago Sky","Verizon Center","Washington","DC",11745
2009,"June 21, 2009","Regular season","Connecticut Sun","San Antonio Silver Stars","Mohegan Sun Arena","Uncasville","CT",6928
2009,"June 21, 2009","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",5624
2009,"June 21, 2009","Regular season","Indiana Fever","Detroit Shock","Conseco Fieldhouse","Indianapolis","IN",7610
2009,"June 21, 2009","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",6181
2009,"June 21, 2009","Regular season","Los Angeles Sparks","Sacramento Monarchs","Staples Center","Los Angeles","CA",9494
2009,"June 23, 2009","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",10351
2009,"June 23, 2009","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",6692
2009,"June 23, 2009","Regular season","Minnesota Lynx","New York Liberty","Target Center","Minneapolis","MN",5620
2009,"June 25, 2009","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC",9808
2009,"June 26, 2009","Regular season","New York Liberty","Indiana Fever","Madison Square Garden","New York","NY",9304
2009,"June 26, 2009","Regular season","Atlanta Dream","Detroit Shock","Philips Arena","Atlanta","GA",5935
2009,"June 26, 2009","Regular season","San Antonio Stars","Sacramento Monarchs","AT&T Center","San Antonio","TX",7973
2009,"June 26, 2009","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",9686
2009,"June 27, 2009","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",6264
2009,"June 27, 2009","Regular season","Indiana Fever","New York Liberty","Conseco Fieldhouse","Indianapolis","IN",8481
2009,"June 27, 2009","Regular season","Chicago Sky","Washington Mystics","UIC Pavilion","Chicago","IL",3918
2009,"June 27, 2009","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",5911
2009,"June 28, 2009","Regular season","Detroit Shock","Sacramento Monarchs","Palace of Auburn Hills","Detroit","MI",7277
2009,"June 28, 2009","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",10797
2009,"June 30, 2009","Regular season","Atlanta Dream","Minnesota Lynx","Philips Arena","Atlanta","GA",7686
2009,"June 30, 2009","Regular season","Chicago Sky","Sacramento Monarchs","UIC Pavilion","Chicago","IL",2721
2009,"June 30, 2009","Regular season","San Antonio Stars","Washington Mystics","AT&T Center","San Antonio","TX",4723
2009,"July 1, 2009","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",6341
2009,"July 2, 2009","Regular season","Indiana Fever","Connecticut Sun","Conseco Fieldhouse","Indianapolis","IN",6468
2009,"July 2, 2009","Regular season","New York Liberty","Detroit Shock","Madison Square Garden","New York","NY",8018
2009,"July 2, 2009","Regular season","Minnesota Lynx","Sacramento Monarchs","Target Center","Minneapolis","MN",6920
2009,"July 3, 2009","Regular season","Atlanta Dream","Washington Mystics","Philips Arena","Atlanta","GA",5456
2009,"July 3, 2009","Regular season","San Antonio Stars","Chicago Sky","AT&T Center","San Antonio","TX",6662
2009,"July 5, 2009","Regular season","Detroit Shock","Connecticut Sun","Palace of Auburn Hills","Detroit","MI",6981
2009,"July 5, 2009","Regular season","Indiana Fever","Atlanta Dream","Conseco Fieldhouse","Indianapolis","IN",7024
2009,"July 5, 2009","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",9872
2009,"July 7, 2009","Regular season","Seattle Storm","San Antonio Silver Stars","KeyArena","Seattle","WA",10137
2009,"July 7, 2009","Regular season","Atlanta Dream","Connecticut Sun","Philips Arena","Atlanta","GA",6225
2009,"July 7, 2009","Regular season","Minnesota Lynx","Washington Mystics","Target Center","Minneapolis","MN",7171
2009,"July 7, 2009","Regular season","Sacramento Monarchs","Chicago Sky","ARCO Arena","Sacramento","CA",5672
2009,"July 8, 2009","Regular season","Phoenix Mercury","Chicago Sky","US Airways Center","Phoenix","AZ",5597
