"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2007,"May 19, 2007","Regular season","Detroit Shock","Sacramento Monarchs","Palace of Auburn Hills","Detroit","MI",13689
2007,"May 19, 2007","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",8042
2007,"May 19, 2007","Regular season","Indiana Fever","Minnesota Lynx","Conseco Fieldhouse","Indianapolis","IN",9210
2007,"May 19, 2007","Regular season","Phoenix Mercury","San Antonio Silver Stars","US Airways Center","Phoenix","AZ",10401
2007,"May 19, 2007","Regular season","Seattle Storm","Houston Comets","KeyArena","Seattle","WA",9686
2007,"May 20, 2007","Regular season","New York Liberty","Chicago Sky","Madison Square Garden","New York","NY",11341
2007,"May 20, 2007","Regular season","Minnesota Lynx","Sacramento Monarchs","Target Center","Minneapolis","MN",9831
2007,"May 22, 2007","Regular season","Washington Mystics","Sacramento Monarchs","Verizon Center","Washington","DC",7553
2007,"May 22, 2007","Regular season","Detroit Shock","Minnesota Lynx","Palace of Auburn Hills","Detroit","MI",7421
2007,"May 22, 2007","Regular season","Chicago Sky","Los Angeles Sparks","UIC Pavilion","Chicago","IL",5140
2007,"May 23, 2007","Regular season","San Antonio Stars","Connecticut Sun","AT&T Center","San Antonio","TX",8574
2007,"May 23, 2007","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",6833
2007,"May 24, 2007","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",10610
2007,"May 24, 2007","Regular season","Indiana Fever","Los Angeles Sparks","Conseco Fieldhouse","Indianapolis","IN",5058
2007,"May 25, 2007","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",5806
2007,"May 25, 2007","Regular season","Minnesota Lynx","Chicago Sky","Target Center","Minneapolis","MN",4891
2007,"May 25, 2007","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ",8001
2007,"May 26, 2007","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT",8003
2007,"May 29, 2007","Regular season","Minnesota Lynx","Indiana Fever","Target Center","Minneapolis","MN",6238
2007,"May 29, 2007","Regular season","Houston Comets","San Antonio Silver Stars","Toyota Center","Houston","TX",10975
2007,"May 29, 2007","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ",7026
2007,"May 30, 2007","Regular season","Detroit Shock","Washington Mystics","Palace of Auburn Hills","Detroit","MI",7915
2007,"May 31, 2007","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",5247
2007,"May 31, 2007","Regular season","Chicago Sky","Connecticut Sun","UIC Pavilion","Chicago","IL",2634
