"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2014,"May 16, 2014","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",6039
2014,"May 16, 2014","Regular season","Washington Mystics","Minnesota Lynx","Verizon Center","Washington","DC",7395
2014,"May 16, 2014","Regular season","Atlanta Dream","San Antonio Stars","Philips Arena","Atlanta","GA",4575
2014,"May 16, 2014","Regular season","Chicago Sky","Indiana Fever","Allstate Arena","Rosemont","IL",6721
2014,"May 16, 2014","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",8749
2014,"May 17, 2014","Regular season","Indiana Fever","Atlanta Dream","Bankers Life Fieldhouse","Indianapolis","IN",8275
2014,"May 17, 2014","Regular season","New York Liberty","Chicago Sky","Madison Square Garden","New York","NY",9131
2014,"May 17, 2014","Regular season","San Antonio Stars","Tulsa Shock","AT&T Center","San Antonio","TX",7665
2014,"May 17, 2014","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",10200
2014,"May 18, 2014","Regular season","Minnesota Lynx","Connecticut Sun","Target Center","Minneapolis","MN",9434
2014,"May 18, 2014","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",10138
2014,"May 21, 2014","Regular season","Chicago Sky","Connecticut Sun","Allstate Arena","Rosemont","IL",4951
2014,"May 23, 2014","Regular season","Connecticut Sun","Seattle Storm","Mohegan Sun Arena","Uncasville","CT",6573
2014,"May 23, 2014","Regular season","Indiana Fever","Washington Mystics","Bankers Life Fieldhouse","Indianapolis","IN",5632
2014,"May 23, 2014","Regular season","Tulsa Shock","Minnesota Lynx","BOK Center","Tulsa","OK",7256
2014,"May 23, 2014","Regular season","Phoenix Mercury","San Antonio Stars","US Airways Center","Phoenix","AZ",9171
2014,"May 24, 2014","Regular season","Washington Mystics","Seattle Storm","Verizon Center","Washington","DC",5847
2014,"May 24, 2014","Regular season","Chicago Sky","Atlanta Dream","Allstate Arena","Rosemont","IL",4136
2014,"May 24, 2014","Regular season","Minnesota Lynx","New York Liberty","Target Center","Minneapolis","MN",8323
2014,"May 25, 2014","Regular season","Los Angeles Sparks","San Antonio Stars","Staples Center","Los Angeles","CA",5317
2014,"May 25, 2014","Regular season","Atlanta Dream","Indiana Fever","Philips Arena","Atlanta","GA",5517
2014,"May 26, 2014","Regular season","Chicago Sky","Minnesota Lynx","Allstate Arena","Rosemont","IL",6058
2014,"May 27, 2014","Regular season","New York Liberty","Seattle Storm","Madison Square Garden","New York","NY",7259
2014,"May 28, 2014","Regular season","San Antonio Stars","Tulsa Shock","AT&T Center","San Antonio","TX",5286
2014,"May 29, 2014","Regular season","Indiana Fever","Connecticut Sun","Bankers Life Fieldhouse","Indianapolis","IN",6305
2014,"May 30, 2014","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",7395
2014,"May 30, 2014","Regular season","Atlanta Dream","Seattle Storm","Philips Arena","Atlanta","GA",5486
2014,"May 30, 2014","Regular season","Minnesota Lynx","San Antonio Stars","Target Center","Minneapolis","MN",8734
2014,"May 30, 2014","Regular season","Chicago Sky","Connecticut Sun","Allstate Arena","Rosemont","IL",5693
2014,"May 30, 2014","Regular season","Phoenix Mercury","Tulsa Shock","US Airways Center","Phoenix","AZ",7923
2014,"May 31, 2014","Regular season","Indiana Fever","New York Liberty","Bankers Life Fieldhouse","Indianapolis","IN",7025
2014,"June 1, 2014","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",6071
2014,"June 1, 2014","Regular season","Washington Mystics","Los Angeles Sparks","Verizon Center","Washington","DC",5828
2014,"June 1, 2014","Regular season","San Antonio Stars","Minnesota Lynx","AT&T Center","San Antonio","TX",5089
2014,"June 1, 2014","Regular season","Seattle Storm","Tulsa Shock","KeyArena","Seattle","WA",6128
2014,"June 3, 2014","Regular season","Atlanta Dream","Los Angeles Sparks","Philips Arena","Atlanta","GA",5409
2014,"June 3, 2014","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",8206
2014,"June 5, 2014","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",5014
2014,"June 5, 2014","Regular season","New York Liberty","San Antonio Stars","Madison Square Garden","New York","NY",7983
2014,"June 6, 2014","Regular season","Washington Mystics","Indiana Fever","Verizon Center","Washington","DC",7155
2014,"June 6, 2014","Regular season","Tulsa Shock","Phoenix Mercury","BOK Center","Tulsa","OK",4975
2014,"June 6, 2014","Regular season","Chicago Sky","Los Angeles Sparks","Allstate Arena","Rosemont","IL",6681
2014,"June 6, 2014","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",6836
2014,"June 7, 2014","Regular season","Atlanta Dream","Chicago Sky","Philips Arena","Atlanta","GA",5458
2014,"June 7, 2014","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",5105
2014,"June 7, 2014","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",5808
2014,"June 8, 2014","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",8747
2014,"June 8, 2014","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",8770
2014,"June 10, 2014","Regular season","Tulsa Shock","New York Liberty","BOK Center","Tulsa","OK",4542
2014,"June 10, 2014","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC",7281
2014,"June 10, 2014","Regular season","Chicago Sky","Seattle Storm","Allstate Arena","Rosemont","IL",3958
2014,"June 11, 2014","Regular season","Indiana Fever","Seattle Storm","Bankers Life Fieldhouse","Indianapolis","IN",7925
2014,"June 12, 2014","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT",5760
2014,"June 13, 2014","Regular season","Washington Mystics","Chicago Sky","Verizon Center","Washington","DC",7198
2014,"June 13, 2014","Regular season","Atlanta Dream","Minnesota Lynx","Philips Arena","Atlanta","GA",6684
2014,"June 13, 2014","Regular season","New York Liberty","Connecticut Sun","Madison Square Garden","New York","NY",7911
2014,"June 13, 2014","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",5012
2014,"June 13, 2014","Regular season","Tulsa Shock","Los Angeles Sparks","BOK Center","Tulsa","OK",5058
2014,"June 14, 2014","Regular season","San Antonio Stars","Los Angeles Sparks","AT&T Center","San Antonio","TX",6242
2014,"June 15, 2014","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",8957
2014,"June 15, 2014","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT",5480
2014,"June 15, 2014","Regular season","Washington Mystics","Atlanta Dream","Verizon Center","Washington","DC",7229
2014,"June 15, 2014","Regular season","Tulsa Shock","Seattle Storm","BOK Center","Tulsa","OK",4141
2014,"June 17, 2014","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",4356
2014,"June 17, 2014","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",9636
2014,"June 18, 2014","Regular season","Atlanta Dream","Washington Mystics","Philips Arena","Atlanta","GA",8895
2014,"June 18, 2014","Regular season","Chicago Sky","New York Liberty","Allstate Arena","Rosemont","IL",6716
2014,"June 18, 2014","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",8963
2014,"June 19, 2014","Regular season","Seattle Storm","San Antonio Stars","KeyArena","Seattle","WA",5376
2014,"June 19, 2014","Regular season","Los Angeles Sparks","Tulsa Shock","Staples Center","Los Angeles","CA",8953
2014,"June 20, 2014","Regular season","Atlanta Dream","New York Liberty","Philips Arena","Atlanta","GA",6129
2014,"June 20, 2014","Regular season","Minnesota Lynx","Washington Mystics","Target Center","Minneapolis","MN",8813
2014,"June 20, 2014","Regular season","Chicago Sky","Indiana Fever","Allstate Arena","Rosemont","IL",6488
2014,"June 20, 2014","Regular season","Phoenix Mercury","Tulsa Shock","US Airways Center","Phoenix","AZ",9098
2014,"June 22, 2014","Regular season","Chicago Sky","Tulsa Shock","Allstate Arena","Rosemont","IL",6711
2014,"June 22, 2014","Regular season","New York Liberty","Atlanta Dream","Madison Square Garden","New York","NY",8112
2014,"June 22, 2014","Regular season","Los Angeles Sparks","San Antonio Stars","Staples Center","Los Angeles","CA",7751
2014,"June 22, 2014","Regular season","Minnesota Lynx","Indiana Fever","Target Center","Minneapolis","MN",8704
2014,"June 22, 2014","Regular season","Seattle Storm","Washington Mystics","KeyArena","Seattle","WA",5421
2014,"June 24, 2014","Regular season","San Antonio Stars","Washington Mystics","AT&T Center","San Antonio","TX",10973
2014,"June 24, 2014","Regular season","Los Angeles Sparks","Seattle Storm","Staples Center","Los Angeles","CA",8593
2014,"June 25, 2014","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT",5881
2014,"June 25, 2014","Regular season","Indiana Fever","Tulsa Shock","Bankers Life Fieldhouse","Indianapolis","IN",7367
2014,"June 26, 2014","Regular season","San Antonio Stars","Atlanta Dream","AT&T Center","San Antonio","TX",6371
2014,"June 27, 2014","Regular season","Indiana Fever","Phoenix Mercury","Bankers Life Fieldhouse","Indianapolis","IN",7762
2014,"June 27, 2014","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",7119
2014,"June 27, 2014","Regular season","New York Liberty","Chicago Sky","Madison Square Garden","New York","NY",7911
2014,"June 27, 2014","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",6547
2014,"June 28, 2014","Regular season","Tulsa Shock","Los Angeles Sparks","BOK Center","Tulsa","OK",5136
2014,"June 29, 2014","Regular season","New York Liberty","Connecticut Sun","Madison Square Garden","New York","NY",7023
2014,"June 29, 2014","Regular season","Washington Mystics","San Antonio Stars","Verizon Center","Washington","DC",7203
2014,"June 29, 2014","Regular season","Tulsa Shock","Phoenix Mercury","BOK Center","Tulsa","OK",5939
2014,"June 29, 2014","Regular season","Indiana Fever","Atlanta Dream","Bankers Life Fieldhouse","Indianapolis","IN",8014
