"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2008,"May 17, 2008","Regular season","Detroit Shock","Houston Comets","Palace of Auburn Hills","Detroit","MI",13824
2008,"May 17, 2008","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ",13749
2008,"May 17, 2008","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",7420
2008,"May 17, 2008","Regular season","Indiana Fever","Washington Mystics","Conseco Fieldhouse","Indianapolis","IN",10533
2008,"May 17, 2008","Regular season","Sacramento Monarchs","San Antonio Silver Stars","ARCO Arena","Sacramento","CA",16225
2008,"May 17, 2008","Regular season","Seattle Storm","Chicago Sky","KeyArena","Seattle","WA",12079
2008,"May 18, 2008","Regular season","New York Liberty","Connecticut Sun","Madison Square Garden","New York","NY",10460
2008,"May 18, 2008","Regular season","Minnesota Lynx","Detroit Shock","Target Center","Minneapolis","MN",9972
2008,"May 20, 2008","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",9103
2008,"May 20, 2008","Regular season","Seattle Storm","Sacramento Monarchs","KeyArena","Seattle","WA",6871
2008,"May 21, 2008","Regular season","Detroit Shock","Indiana Fever","Palace of Auburn Hills","Detroit","MI",6842
2008,"May 22, 2008","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",7071
2008,"May 22, 2008","Regular season","Chicago Sky","Sacramento Monarchs","UIC Pavilion","Chicago","IL",4188
2008,"May 22, 2008","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",7059
2008,"May 23, 2008","Regular season","Atlanta Dream","Detroit Shock","Philips Arena","Atlanta","GA",11609
2008,"May 24, 2008","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",9767
2008,"May 24, 2008","Regular season","Connecticut Sun","Sacramento Monarchs","Mohegan Sun Arena","Uncasville","CT",6402
2008,"May 25, 2008","Regular season","Atlanta Dream","Los Angeles Sparks","Philips Arena","Atlanta","GA",11186
2008,"May 25, 2008","Regular season","Washington Mystics","Houston Comets","Verizon Center","Washington","DC",10441
2008,"May 25, 2008","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI",8068
2008,"May 27, 2008","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",5245
