"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
1997,"June 21, 1997","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA",14284
1997,"June 21, 1997","Regular season","Cleveland Rockers","Houston Comets","Quicken Loans Arena","Cleveland","OH",11455
1997,"June 21, 1997","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT",8915
1997,"June 22, 1997","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ",16102
1997,"June 23, 1997","Regular season","Utah Starzz","Los Angeles Sparks","EnergySolutions Arena","Salt Lake City","UT",8036
1997,"June 23, 1997","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA",15259
1997,"June 24, 1997","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX",16285
1997,"June 25, 1997","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA",6397
1997,"June 26, 1997","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH",8845
1997,"June 26, 1997","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX",8931
1997,"June 26, 1997","Regular season","Sacramento Monarchs","Charlotte Sting","ARCO Arena","Sacramento","CA",6248
1997,"June 27, 1997","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA",6670
1997,"June 28, 1997","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH",5930
1997,"June 28, 1997","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT",6529
1997,"June 29, 1997","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY",17780
1997,"June 29, 1997","Regular season","Charlotte Sting","Cleveland Rockers","Time Warner Cable Arena","Charlotte","NC",7289
1997,"June 30, 1997","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX",8301
1997,"July 2, 1997","Regular season","New York Liberty","Houston Comets","Madison Square Garden","New York","NY",8792
1997,"July 2, 1997","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA",6156
1997,"July 3, 1997","Regular season","Cleveland Rockers","Los Angeles Sparks","Quicken Loans Arena","Cleveland","OH",7414
1997,"July 3, 1997","Regular season","Utah Starzz","Phoenix Mercury","EnergySolutions Arena","Salt Lake City","UT",6718
1997,"July 4, 1997","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX",10239
1997,"July 5, 1997","Regular season","Charlotte Sting","Los Angeles Sparks","Time Warner Cable Arena","Charlotte","NC",8975
1997,"July 5, 1997","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT",7689
1997,"July 6, 1997","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA",7420
1997,"July 7, 1997","Regular season","Houston Comets","Charlotte Sting","Compaq Center","Houston","TX",5933
1997,"July 7, 1997","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT",5783
1997,"July 7, 1997","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ",13731
1997,"July 7, 1997","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA",5987
1997,"July 9, 1997","Regular season","Charlotte Sting","New York Liberty","Time Warner Cable Arena","Charlotte","NC",8913
1997,"July 9, 1997","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ",11892
1997,"July 10, 1997","Regular season","Cleveland Rockers","Sacramento Monarchs","Quicken Loans Arena","Cleveland","OH",5629
1997,"July 10, 1997","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY",9951
1997,"July 11, 1997","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA",7187
1997,"July 12, 1997","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX",7751
