"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2005,"May 21, 2005","Regular season","Detroit Shock","Connecticut Sun","Palace of Auburn Hills","Detroit","MI",9245
2005,"May 21, 2005","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",11076
2005,"May 21, 2005","Regular season","Charlotte Sting","Washington Mystics","Time Warner Cable Arena","Charlotte","NC",9079
2005,"May 21, 2005","Regular season","San Antonio Stars","Houston Comets","AT&T Center","San Antonio","TX",9369
2005,"May 21, 2005","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ",10503
2005,"May 22, 2005","Regular season","New York Liberty","Detroit Shock","Madison Square Garden","New York","NY",12543
2005,"May 22, 2005","Regular season","Washington Mystics","Connecticut Sun","Verizon Center","Washington","DC",11155
2005,"May 22, 2005","Regular season","Indiana Fever","Charlotte Sting","Conseco Fieldhouse","Indianapolis","IN",9205
2005,"May 22, 2005","Regular season","Houston Comets","Minnesota Lynx","Compaq Center","Houston","TX",8250
2005,"May 24, 2005","Regular season","Detroit Shock","San Antonio Silver Stars","Palace of Auburn Hills","Detroit","MI",5635
2005,"May 24, 2005","Regular season","Indiana Fever","Phoenix Mercury","Conseco Fieldhouse","Indianapolis","IN",6597
2005,"May 25, 2005","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",5665
2005,"May 26, 2005","Regular season","Charlotte Sting","Phoenix Mercury","Time Warner Cable Arena","Charlotte","NC",4049
2005,"May 26, 2005","Regular season","Washington Mystics","Los Angeles Sparks","Verizon Center","Washington","DC",12243
2005,"May 26, 2005","Regular season","New York Liberty","Indiana Fever","Madison Square Garden","New York","NY",7897
2005,"May 27, 2005","Regular season","San Antonio Stars","Sacramento Monarchs","AT&T Center","San Antonio","TX",7550
2005,"May 27, 2005","Regular season","Seattle Storm","Houston Comets","KeyArena","Seattle","WA",7219
2005,"May 28, 2005","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT",9341
2005,"May 28, 2005","Regular season","Charlotte Sting","Los Angeles Sparks","Time Warner Cable Arena","Charlotte","NC",6003
2005,"May 29, 2005","Regular season","Houston Comets","Indiana Fever","Compaq Center","Houston","TX",5582
2005,"May 29, 2005","Regular season","Minnesota Lynx","Sacramento Monarchs","Target Center","Minneapolis","MN",4190
2005,"May 29, 2005","Regular season","Seattle Storm","San Antonio Silver Stars","KeyArena","Seattle","WA",6910
2005,"May 31, 2005","Regular season","Los Angeles Sparks","San Antonio Silver Stars","Staples Center","Los Angeles","CA",7674
2005,"June 1, 2005","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC",11601
2005,"June 1, 2005","Regular season","Indiana Fever","Sacramento Monarchs","Conseco Fieldhouse","Indianapolis","IN",7037
2005,"June 2, 2005","Regular season","San Antonio Stars","Charlotte Sting","AT&T Center","San Antonio","TX",8380
2005,"June 2, 2005","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",7132
2005,"June 3, 2005","Regular season","Washington Mystics","Minnesota Lynx","Verizon Center","Washington","DC",9620
2005,"June 3, 2005","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI",8314
2005,"June 4, 2005","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX",7439
2005,"June 4, 2005","Regular season","Connecticut Sun","San Antonio Silver Stars","Mohegan Sun Arena","Uncasville","CT",6252
2005,"June 4, 2005","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",17317
2005,"June 4, 2005","Regular season","Minnesota Lynx","Charlotte Sting","Target Center","Minneapolis","MN",10974
2005,"June 4, 2005","Regular season","Seattle Storm","Indiana Fever","KeyArena","Seattle","WA",8651
2005,"June 5, 2005","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",8143
2005,"June 7, 2005","Regular season","Connecticut Sun","Seattle Storm","Mohegan Sun Arena","Uncasville","CT",7080
2005,"June 7, 2005","Regular season","San Antonio Stars","Washington Mystics","AT&T Center","San Antonio","TX",9564
2005,"June 7, 2005","Regular season","Houston Comets","Minnesota Lynx","Compaq Center","Houston","TX",4253
2005,"June 7, 2005","Regular season","Sacramento Monarchs","Indiana Fever","ARCO Arena","Sacramento","CA",7725
2005,"June 8, 2005","Regular season","Detroit Shock","Seattle Storm","Palace of Auburn Hills","Detroit","MI",5841
2005,"June 8, 2005","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",7585
2005,"June 10, 2005","Regular season","Washington Mystics","Seattle Storm","Verizon Center","Washington","DC",10024
2005,"June 10, 2005","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI",8405
2005,"June 10, 2005","Regular season","Indiana Fever","New York Liberty","Conseco Fieldhouse","Indianapolis","IN",7573
2005,"June 10, 2005","Regular season","Houston Comets","Connecticut Sun","Compaq Center","Houston","TX",5736
2005,"June 10, 2005","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA",7524
2005,"June 11, 2005","Regular season","Minnesota Lynx","Washington Mystics","Target Center","Minneapolis","MN",4263
2005,"June 11, 2005","Regular season","San Antonio Stars","Connecticut Sun","AT&T Center","San Antonio","TX",9772
2005,"June 11, 2005","Regular season","Los Angeles Sparks","Sacramento Monarchs","Staples Center","Los Angeles","CA",8461
