"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2002,"May 25, 2002","Regular season","Los Angeles Sparks","New York Liberty","Staples Center","Los Angeles","CA",11289
2002,"May 25, 2002","Regular season","Minnesota Lynx","Utah Starzz","Target Center","Minneapolis","MN",11481
2002,"May 27, 2002","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX",12697
2002,"May 28, 2002","Regular season","Miami Sol","Minnesota Lynx","AmericanAirlines Arena","Miami","FL",9130
2002,"May 29, 2002","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX",7887
2002,"May 29, 2002","Regular season","Portland Fire","New York Liberty","Moda Center","Portland","OR",9386
2002,"May 30, 2002","Regular season","Miami Sol","Los Angeles Sparks","AmericanAirlines Arena","Miami","FL",7320
2002,"May 30, 2002","Regular season","Orlando Miracle","Detroit Shock","Amway Arena","Orlando","FL",13111
2002,"May 30, 2002","Regular season","Utah Starzz","Portland Fire","EnergySolutions Arena","Salt Lake City","UT",6261
2002,"May 30, 2002","Regular season","Seattle Storm","New York Liberty","KeyArena","Seattle","WA",7842
2002,"June 1, 2002","Regular season","Cleveland Rockers","Houston Comets","Quicken Loans Arena","Cleveland","OH",12773
2002,"June 1, 2002","Regular season","Washington Mystics","Orlando Miracle","Verizon Center","Washington","DC",17383
2002,"June 1, 2002","Regular season","Charlotte Sting","Los Angeles Sparks","Spectrum Center","Charlotte","NC",10063
2002,"June 1, 2002","Regular season","Indiana Fever","Detroit Shock","Conseco Fieldhouse","Indianapolis","IN",13014
2002,"June 1, 2002","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ",9647
2002,"June 1, 2002","Regular season","Sacramento Monarchs","Minnesota Lynx","ARCO Arena","Sacramento","CA",17317
2002,"June 2, 2002","Regular season","New York Liberty","Miami Sol","Madison Square Garden","New York","NY",14674
2002,"June 2, 2002","Regular season","Portland Fire","Seattle Storm","Moda Center","Portland","OR",8627
2002,"June 2, 2002","Regular season","Detroit Shock","Indiana Fever","Palace of Auburn Hills","Detroit","MI",5681
2002,"June 3, 2002","Regular season","Charlotte Sting","Houston Comets","Spectrum Center","Charlotte","NC",5915
2002,"June 3, 2002","Regular season","Phoenix Mercury","Washington Mystics","US Airways Center","Phoenix","AZ",7984
2002,"June 3, 2002","Regular season","Los Angeles Sparks","Portland Fire","Staples Center","Los Angeles","CA",8567
2002,"June 4, 2002","Regular season","Miami Sol","Orlando Miracle","AmericanAirlines Arena","Miami","FL",5286
2002,"June 4, 2002","Regular season","Utah Starzz","Washington Mystics","EnergySolutions Arena","Salt Lake City","UT",5490
2002,"June 4, 2002","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",4318
2002,"June 5, 2002","Regular season","New York Liberty","Detroit Shock","Madison Square Garden","New York","NY",13181
2002,"June 5, 2002","Regular season","Indiana Fever","Houston Comets","Conseco Fieldhouse","Indianapolis","IN",6814
2002,"June 6, 2002","Regular season","Cleveland Rockers","Detroit Shock","Quicken Loans Arena","Cleveland","OH",5957
2002,"June 6, 2002","Regular season","Portland Fire","Sacramento Monarchs","Moda Center","Portland","OR",6441
2002,"June 6, 2002","Regular season","Seattle Storm","Charlotte Sting","KeyArena","Seattle","WA",3927
2002,"June 7, 2002","Regular season","Washington Mystics","Indiana Fever","Verizon Center","Washington","DC",14970
2002,"June 8, 2002","Regular season","Orlando Miracle","Cleveland Rockers","Amway Arena","Orlando","FL",7255
2002,"June 8, 2002","Regular season","Indiana Fever","New York Liberty","Conseco Fieldhouse","Indianapolis","IN",7021
2002,"June 8, 2002","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",6448
2002,"June 8, 2002","Regular season","Utah Starzz","Charlotte Sting","EnergySolutions Arena","Salt Lake City","UT",7258
2002,"June 9, 2002","Regular season","Washington Mystics","Miami Sol","Verizon Center","Washington","DC",14166
2002,"June 9, 2002","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX",10245
2002,"June 9, 2002","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI",3315
2002,"June 9, 2002","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ",7875
2002,"June 9, 2002","Regular season","Seattle Storm","Utah Starzz","KeyArena","Seattle","WA",5139
2002,"June 11, 2002","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT",6123
2002,"June 11, 2002","Regular season","Miami Sol","Cleveland Rockers","AmericanAirlines Arena","Miami","FL",5726
2002,"June 11, 2002","Regular season","Orlando Miracle","Indiana Fever","Amway Arena","Orlando","FL",4323
2002,"June 11, 2002","Regular season","Minnesota Lynx","Sacramento Monarchs","Target Center","Minneapolis","MN",5373
2002,"June 11, 2002","Regular season","Houston Comets","Charlotte Sting","Compaq Center","Houston","TX",10245
2002,"June 11, 2002","Regular season","Seattle Storm","Portland Fire","KeyArena","Seattle","WA",3715
2002,"June 11, 2002","Regular season","Los Angeles Sparks","Detroit Shock","Staples Center","Los Angeles","CA",7487
2002,"June 13, 2002","Regular season","Washington Mystics","Houston Comets","Verizon Center","Washington","DC",14004
2002,"June 13, 2002","Regular season","Charlotte Sting","Indiana Fever","Spectrum Center","Charlotte","NC",4021
2002,"June 13, 2002","Regular season","Minnesota Lynx","Portland Fire","Target Center","Minneapolis","MN",11217
2002,"June 13, 2002","Regular season","Phoenix Mercury","Detroit Shock","US Airways Center","Phoenix","AZ",7358
2002,"June 13, 2002","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA",6661
2002,"June 14, 2002","Regular season","Cleveland Rockers","Washington Mystics","Quicken Loans Arena","Cleveland","OH",6424
2002,"June 14, 2002","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",8237
2002,"June 15, 2002","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",11658
2002,"June 15, 2002","Regular season","Orlando Miracle","Miami Sol","Amway Arena","Orlando","FL",7215
2002,"June 15, 2002","Regular season","Indiana Fever","Cleveland Rockers","Conseco Fieldhouse","Indianapolis","IN",7697
2002,"June 15, 2002","Regular season","Houston Comets","Minnesota Lynx","Compaq Center","Houston","TX",8774
2002,"June 15, 2002","Regular season","Utah Starzz","Seattle Storm","EnergySolutions Arena","Salt Lake City","UT",5852
2002,"June 15, 2002","Regular season","Portland Fire","Detroit Shock","Moda Center","Portland","OR",6995
2002,"June 16, 2002","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY",13231
2002,"June 18, 2002","Regular season","Washington Mystics","Detroit Shock","Verizon Center","Washington","DC",13130
2002,"June 18, 2002","Regular season","Miami Sol","Houston Comets","AmericanAirlines Arena","Miami","FL",6463
2002,"June 18, 2002","Regular season","New York Liberty","Orlando Miracle","Madison Square Garden","New York","NY",12705
2002,"June 18, 2002","Regular season","Utah Starzz","Indiana Fever","EnergySolutions Arena","Salt Lake City","UT",5103
2002,"June 18, 2002","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ",7199
2002,"June 18, 2002","Regular season","Portland Fire","Minnesota Lynx","Moda Center","Portland","OR",6556
2002,"June 18, 2002","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",6410
2002,"June 19, 2002","Regular season","Charlotte Sting","Washington Mystics","Spectrum Center","Charlotte","NC",5109
2002,"June 19, 2002","Regular season","Cleveland Rockers","Orlando Miracle","Quicken Loans Arena","Cleveland","OH",5210
2002,"June 20, 2002","Regular season","Sacramento Monarchs","Seattle Storm","ARCO Arena","Sacramento","CA",7259
2002,"June 20, 2002","Regular season","Portland Fire","Indiana Fever","Moda Center","Portland","OR",6465
2002,"June 21, 2002","Regular season","Miami Sol","Washington Mystics","AmericanAirlines Arena","Miami","FL",10412
2002,"June 21, 2002","Regular season","Detroit Shock","Orlando Miracle","Palace of Auburn Hills","Detroit","MI",5862
2002,"June 21, 2002","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH",9061
2002,"June 21, 2002","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX",10460
2002,"June 21, 2002","Regular season","Seattle Storm","Indiana Fever","KeyArena","Seattle","WA",5232
2002,"June 21, 2002","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",9112
2002,"June 22, 2002","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA",11208
2002,"June 22, 2002","Regular season","Charlotte Sting","Miami Sol","Spectrum Center","Charlotte","NC",5054
2002,"June 23, 2002","Regular season","Washington Mystics","Cleveland Rockers","Verizon Center","Washington","DC",14998
2002,"June 23, 2002","Regular season","Orlando Miracle","New York Liberty","Amway Arena","Orlando","FL",7911
2002,"June 23, 2002","Regular season","Portland Fire","Houston Comets","Moda Center","Portland","OR",7541
2002,"June 23, 2002","Regular season","Phoenix Mercury","Minnesota Lynx","US Airways Center","Phoenix","AZ",7623
2002,"June 23, 2002","Regular season","Seattle Storm","Sacramento Monarchs","KeyArena","Seattle","WA",6138
2002,"June 25, 2002","Regular season","Cleveland Rockers","Miami Sol","Quicken Loans Arena","Cleveland","OH",6652
2002,"June 25, 2002","Regular season","New York Liberty","Indiana Fever","Madison Square Garden","New York","NY",12444
2002,"June 25, 2002","Regular season","Minnesota Lynx","Houston Comets","Target Center","Minneapolis","MN",6111
2002,"June 25, 2002","Regular season","Utah Starzz","Portland Fire","EnergySolutions Arena","Salt Lake City","UT",6491
2002,"June 25, 2002","Regular season","Sacramento Monarchs","Washington Mystics","ARCO Arena","Sacramento","CA",6627
2002,"June 25, 2002","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",9698
2002,"June 26, 2002","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI",4012
