"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2019,"May 24, 2019","Regular season","Atlanta Dream","Dallas Wings","State Farm Arena","Atlanta","GA",3070
2019,"May 24, 2019","Regular season","New York Liberty","Indiana Fever","Westchester County Center","White Plains","NY",1965
2019,"May 25, 2019","Regular season","Seattle Storm","Phoenix Mercury","Angel of the Winds Arena","Everett","WA",8500
2019,"May 25, 2019","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",7913
2019,"May 25, 2019","Regular season","Minnesota Lynx","Chicago Sky","Target Center","Minneapolis","MN",8524
2019,"May 26, 2019","Regular season","Las Vegas Aces","Los Angeles Sparks","Mandalay Bay Events Center","Las Vegas","NV",7249
2019,"May 28, 2019","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",4781
2019,"May 29, 2019","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",8092
2019,"May 31, 2019","Regular season","Atlanta Dream","Seattle Storm","State Farm Arena","Atlanta","GA",2119
2019,"May 31, 2019","Regular season","Phoenix Mercury","Las Vegas Aces","Talking Stick Resort Arena","Phoenix","AZ",14090
2019,"May 31, 2019","Regular season","Los Angeles Sparks","Connecticut Sun","Staples Center","Los Angeles","CA",12334
2019,"June 1, 2019","Regular season","Indiana Fever","New York Liberty","Bankers Life Fieldhouse","Indianapolis","IN",5003
2019,"June 1, 2019","Regular season","Washington Mystics","Atlanta Dream","Entertainment and Sports Arena","Washington","DC",4200
2019,"June 1, 2019","Regular season","Dallas Wings","Minnesota Lynx","College Park Center","Arlington","TX",6535
2019,"June 1, 2019","Regular season","Chicago Sky","Seattle Storm","Wintrust Arena","Chicago","IL",7063
2019,"June 2, 2019","Regular season","Las Vegas Aces","Connecticut Sun","Mandalay Bay Events Center","Las Vegas","NV",2747
2019,"June 4, 2019","Regular season","New York Liberty","Los Angeles Sparks","Westchester County Center","New York","NY",3579
2019,"June 4, 2019","Regular season","Seattle Storm","Minnesota Lynx","Angel of the Winds Arena","Everett","WA",5711
2019,"June 5, 2019","Regular season","Washington Mystics","Chicago Sky","Entertainment and Sports Arena","Washington","DC",2347
2019,"June 6, 2019","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT",5496
2019,"June 6, 2019","Regular season","Atlanta Dream","Las Vegas Aces","State Farm Arena","Atlanta","GA",2630
2019,"June 6, 2019","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",8001
2019,"June 7, 2019","Regular season","Indiana Fever","Dallas Wings","Bankers Life Fieldhouse","Indianapolis","IN",3671
2019,"June 7, 2019","Regular season","New York Liberty","Washington Mystics","Westchester County Center","White Plains","NY",1567
2019,"June 8, 2019","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",8834
