"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2003,"May 22, 2003","Regular season","Houston Comets","Seattle Storm","Compaq Center","Houston","TX",9658
2003,"May 22, 2003","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ",9303
2003,"May 23, 2003","Regular season","Charlotte Sting","Washington Mystics","Time Warner Cable Arena","Charlotte","NC",11910
2003,"May 24, 2003","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT",9341
2003,"May 24, 2003","Regular season","Minnesota Lynx","Sacramento Monarchs","Target Center","Minneapolis","MN",10967
2003,"May 24, 2003","Regular season","San Antonio Stars","Seattle Storm","AT&T Center","San Antonio","TX",15593
2003,"May 24, 2003","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ",8758
2003,"May 27, 2003","Regular season","Cleveland Rockers","Los Angeles Sparks","Quicken Loans Arena","Cleveland","OH",14061
2003,"May 28, 2003","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",5423
2003,"May 28, 2003","Regular season","Phoenix Mercury","San Antonio Silver Stars","US Airways Center","Phoenix","AZ",6840
2003,"May 29, 2003","Regular season","Charlotte Sting","Indiana Fever","Time Warner Cable Arena","Charlotte","NC",5008
2003,"May 30, 2003","Regular season","Houston Comets","Connecticut Sun","Compaq Center","Houston","TX",7456
2003,"May 30, 2003","Regular season","San Antonio Stars","Minnesota Lynx","AT&T Center","San Antonio","TX",8845
2003,"May 30, 2003","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA",17317
2003,"May 30, 2003","Regular season","Seattle Storm","Los Angeles Sparks","KeyArena","Seattle","WA",9686
2003,"May 31, 2003","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH",7317
2003,"May 31, 2003","Regular season","Indiana Fever","Washington Mystics","Conseco Fieldhouse","Indianapolis","IN",18345
2003,"May 31, 2003","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI",8435
2003,"June 1, 2003","Regular season","San Antonio Stars","Connecticut Sun","AT&T Center","San Antonio","TX",7692
2003,"June 1, 2003","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY",15045
2003,"June 1, 2003","Regular season","Minnesota Lynx","Houston Comets","Target Center","Minneapolis","MN",6366
2003,"June 3, 2003","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX",6639
2003,"June 3, 2003","Regular season","Seattle Storm","Sacramento Monarchs","KeyArena","Seattle","WA",4528
2003,"June 4, 2003","Regular season","Charlotte Sting","San Antonio Silver Stars","Time Warner Cable Arena","Charlotte","NC",5408
2003,"June 5, 2003","Regular season","Detroit Shock","Connecticut Sun","Palace of Auburn Hills","Detroit","MI",12414
2003,"June 5, 2003","Regular season","San Antonio Stars","Phoenix Mercury","AT&T Center","San Antonio","TX",8774
2003,"June 5, 2003","Regular season","Los Angeles Sparks","Sacramento Monarchs","Staples Center","Los Angeles","CA",10219
2003,"June 6, 2003","Regular season","Washington Mystics","Cleveland Rockers","Verizon Center","Washington","DC",18133
2003,"June 6, 2003","Regular season","Charlotte Sting","Houston Comets","Time Warner Cable Arena","Charlotte","NC",6581
2003,"June 6, 2003","Regular season","Minnesota Lynx","New York Liberty","Target Center","Minneapolis","MN",5421
2003,"June 7, 2003","Regular season","Connecticut Sun","Houston Comets","Mohegan Sun Arena","Uncasville","CT",5032
2003,"June 7, 2003","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH",6294
2003,"June 7, 2003","Regular season","Indiana Fever","New York Liberty","Conseco Fieldhouse","Indianapolis","IN",8502
2003,"June 7, 2003","Regular season","San Antonio Stars","Detroit Shock","AT&T Center","San Antonio","TX",8584
2003,"June 7, 2003","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA",10481
2003,"June 7, 2003","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",6549
2003,"June 10, 2003","Regular season","Washington Mystics","San Antonio Silver Stars","Verizon Center","Washington","DC",11974
2003,"June 10, 2003","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY",12365
2003,"June 10, 2003","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX",7174
2003,"June 10, 2003","Regular season","Seattle Storm","Indiana Fever","KeyArena","Seattle","WA",5638
2003,"June 10, 2003","Regular season","Los Angeles Sparks","Minnesota Lynx","Staples Center","Los Angeles","CA",7844
2003,"June 12, 2003","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ",6464
2003,"June 12, 2003","Regular season","Sacramento Monarchs","Minnesota Lynx","ARCO Arena","Sacramento","CA",6011
2003,"June 12, 2003","Regular season","Los Angeles Sparks","Indiana Fever","Staples Center","Los Angeles","CA",7928
2003,"June 13, 2003","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",4135
2003,"June 14, 2003","Regular season","New York Liberty","Los Angeles Sparks","Madison Square Garden","New York","NY",14021
2003,"June 14, 2003","Regular season","Washington Mystics","Detroit Shock","Verizon Center","Washington","DC",16589
2003,"June 14, 2003","Regular season","Cleveland Rockers","Connecticut Sun","Quicken Loans Arena","Cleveland","OH",5471
2003,"June 14, 2003","Regular season","San Antonio Stars","Charlotte Sting","AT&T Center","San Antonio","TX",8811
2003,"June 14, 2003","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ",7260
2003,"June 14, 2003","Regular season","Sacramento Monarchs","Indiana Fever","ARCO Arena","Sacramento","CA",6982
2003,"June 14, 2003","Regular season","Seattle Storm","Minnesota Lynx","KeyArena","Seattle","WA",6486
2003,"June 17, 2003","Regular season","Phoenix Mercury","Seattle Storm","US Airways Center","Phoenix","AZ",8950
2003,"June 17, 2003","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY",10711
2003,"June 17, 2003","Regular season","Detroit Shock","Los Angeles Sparks","Palace of Auburn Hills","Detroit","MI",5411
2003,"June 17, 2003","Regular season","Indiana Fever","Charlotte Sting","Conseco Fieldhouse","Indianapolis","IN",7855
2003,"June 17, 2003","Regular season","Minnesota Lynx","Houston Comets","Target Center","Minneapolis","MN",5543
