".rownames","attendance","rolling_wins_44","dow","month","team_name","Season",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"326",8596,34,"Sat","7","LAS VEGAS ACES","2023",8661.21009861728,-65.2100986172791,0.0221025772509177,2473.80365924913,5.74044322412408e-07,-0.0266671694670441
"327",10177,34,"Wed","7","LAS VEGAS ACES","2023",8369.55662215185,1807.44337784815,0.0227004746632033,2473.26250358013,0.000453490676237332,0.739366163635487
"328",10281,34,"Tue","7","LAS VEGAS ACES","2023",7190.04773289743,3090.95226710257,0.0194279578394789,2472.22463729176,0.00112748853355604,1.26229615608515
"329",10213,35,"Sun","7","LAS VEGAS ACES","2023",8418.41572087861,1794.58427912139,0.018448362457889,2473.27250146107,0.000360179204506654,0.732514114891083
"330",8366,36,"Tue","8","LAS VEGAS ACES","2023",7567.98362660535,798.016373394652,0.0198714522991243,2473.69904960237,7.6938999225568e-05,0.325971024407257
"331",9364,36,"Fri","8","LAS VEGAS ACES","2023",8323.55995113107,1040.44004886893,0.0206240023471583,2473.62520507911,0.000135946351478344,0.425158677350475
"332",8564,37,"Sun","8","LAS VEGAS ACES","2023",8796.35161458653,-232.351614586532,0.0192514849430531,2473.79544184779,6.31102212557531e-06,-0.0948801974212322
"333",9230,38,"Thu","8","LAS VEGAS ACES","2023",8604.63791200036,625.36208799964,0.0223311778247049,2473.73952821126,5.33642726271106e-05,0.255766924168855
"334",10348,38,"Sat","8","LAS VEGAS ACES","2023",9323.35529795106,1024.64470204894,0.0238044208801744,2473.63003762265,0.000153175724382681,0.419385677953291
"335",8619,36,"Thu","8","LAS VEGAS ACES","2023",8320.4286063745,298.571393625496,0.0214815850425421,2473.78959792673,1.16811097722104e-05,0.122059730939777
"336",9319,36,"Sat","9","LAS VEGAS ACES","2023",9214.31204047472,104.687959525285,0.0294675073305032,2473.8025337656,2.00251652484517e-06,0.0429734686598949
"337",17406,37,"Sun","9","LAS VEGAS ACES","2023",8971.51766273605,8434.48233726395,0.0238800277163629,2461.96325149891,0.0104136911398312,3.45235580387266
"338",10419,38,"Tue","5","LAS VEGAS ACES","2024",10019.8102197128,399.189780287183,0.0225183133935934,2473.77794054054,2.19349589771067e-05,0.163280309218825
"339",10286,38,"Sat","5","LAS VEGAS ACES","2024",11490.9725854327,-1204.97258543267,0.0238954194575673,2473.5632528846,0.000212684424979583,-0.493216623245244
"340",10374,38,"Tue","5","LAS VEGAS ACES","2024",10019.8102197128,354.189780287183,0.0225183133935934,2473.78356214212,1.72683184843297e-05,0.144873991528124
"341",10399,37,"Sat","5","LAS VEGAS ACES","2024",11348.8679326197,-949.867932619738,0.0234429994771912,2473.65460945361,0.000129539982153177,-0.38870769842765
"342",10380,36,"Fri","6","LAS VEGAS ACES","2024",10581.2509009777,-201.25090097768,0.0204730029318927,2473.79766216182,5.04758676217161e-06,-0.0822315246990214
"343",10368,34,"Tue","6","LAS VEGAS ACES","2024",9541.4652708261,826.534729173894,0.019262085964203,2473.69145797585,7.99059276334168e-05,0.337515201938389
"344",10424,33,"Sat","6","LAS VEGAS ACES","2024",10870.522983733,-446.522983733026,0.0207911932534463,2473.77136106318,2.52508398675766e-05,-0.182479834056225
"345",10380,33,"Wed","6","LAS VEGAS ACES","2024",10578.8695072676,-198.869507267602,0.021998307328338,2473.7978096238,5.31258443432786e-06,-0.0813218236338007
"346",10385,33,"Fri","6","LAS VEGAS ACES","2024",10154.9369425389,230.063057461106,0.0195225529092758,2473.79561432367,6.27790245815507e-06,0.093958656335486
"347",20366,33,"Tue","7","LAS VEGAS ACES","2024",10258.2453285333,10107.7546714667,0.0202241447168361,2456.84490141067,0.0125714531524187,4.12952443876629
"348",10376,33,"Thu","7","LAS VEGAS ACES","2024",11010.6903083024,-634.690308302415,0.0218946708228934,2473.73760931434,5.3845609975461e-05,-0.259524144877282
"349",10369,32,"Sun","7","LAS VEGAS ACES","2024",11202.4040108886,-833.404010888586,0.0190759342724902,2473.68959520627,8.04239887239748e-05,-0.340287977888132
"350",10396,33,"Tue","7","LAS VEGAS ACES","2024",10258.2453285333,137.754671466741,0.0202241447168361,2473.80122482414,2.33501011950279e-06,0.0562796883052614
"351",10397,32,"Sat","8","LAS VEGAS ACES","2024",11681.0296295222,-1284.02962952225,0.022152888956677,2473.53106299845,0.000223099165160643,-0.525107572793778
"352",10311,31,"Sun","8","LAS VEGAS ACES","2024",11154.0259461577,-843.025946157723,0.0188583749308431,2473.68695579384,8.13171490647177e-05,-0.344178553756325
"353",10429,31,"Wed","8","LAS VEGAS ACES","2024",11247.2715002439,-818.271500243893,0.0230282985559788,2473.69327768276,9.43522217639048e-05,-0.334784349775914
"354",10397,28,"Fri","8","LAS VEGAS ACES","2024",10397.0249770764,-0.0249770764021378,0.0202703035722187,2473.80436406327,7.69467551960468e-14,-1.02046280714663e-05
"355",18394,29,"Tue","9","LAS VEGAS ACES","2024",9958.71935351313,8435.28064648687,0.0226595397279655,2461.97582985656,0.00985865793550486,3.45052606105129
"356",10431,29,"Sun","9","LAS VEGAS ACES","2024",11044.9826886814,-613.982688681383,0.0209644819582305,2473.74195358911,4.81569408125204e-05,-0.25093752896511
"357",10376,30,"Thu","9","LAS VEGAS ACES","2024",10853.2689860952,-477.268986095209,0.0241934717920963,2473.7665281494,3.38031040236225e-05,-0.195384482495603
"358",11201,32,"Sun","5","LOS ANGELES SPARKS","2018",9425.2443534771,1775.7556465229,0.0243077734716105,2473.28047690655,0.000470267858643575,0.727001817266241
"359",13500,32,"Sun","6","LOS ANGELES SPARKS","2018",9515.3180158421,3984.6819841579,0.0207043889762354,2471.17504928146,0.00200208048476489,1.62834144500939
"360",9204,32,"Thu","6","LOS ANGELES SPARKS","2018",9181.499660443,22.5003395569984,0.0228139759210001,2473.80428009048,7.06454225519652e-08,0.00920468992781796
"361",8239,32,"Sun","6","LOS ANGELES SPARKS","2018",9515.3180158421,-1276.3180158421,0.0207043889762354,2473.53473552416,0.000205405467257136,-0.521567726225221
"362",9215,33,"Tue","6","LOS ANGELES SPARKS","2018",8571.15933348677,643.840666513226,0.0220597329043474,2473.73565900543,5.58459648600624e-05,0.263287932710732
"363",8857,34,"Tue","6","LOS ANGELES SPARKS","2018",8713.2639862997,143.736013700298,0.0227237653669243,2473.8009375506,2.87101995527632e-06,0.058798418080645
"364",9203,33,"Sun","6","LOS ANGELES SPARKS","2018",9657.42266865503,-454.422668655028,0.0213158690579711,2473.77016465204,2.68409154720155e-05,-0.185757958383556
"365",10002,34,"Tue","6","LOS ANGELES SPARKS","2018",8713.2639862997,1288.7360137003,0.0227237653669243,2473.52889491089,0.000230798482391551,0.527186172611783
"366",12003,33,"Sun","7","LOS ANGELES SPARKS","2018",10516.3073791751,1486.69262082489,0.0211769857437153,2473.43834093434,0.00028533665765298,0.607684017725959
"367",6280,34,"Tue","7","LOS ANGELES SPARKS","2018",9572.14869681979,-3292.14869681979,0.0225997266695801,2472.00639389754,0.00149753353948136,-1.34664129898485
"368",10163,32,"Sat","7","LOS ANGELES SPARKS","2018",10759.1017569138,-596.10175691378,0.0260020343961452,2473.7452315765,5.68841706313694e-05,-0.244258728239748
"369",13502,31,"Thu","7","LOS ANGELES SPARKS","2018",9898.27971815016,3603.72028184984,0.0225478068720933,2471.64992618028,0.00179008973182008,1.47404935782573
"370",10532,30,"Fri","7","LOS ANGELES SPARKS","2018",9759.30641009379,772.693589906208,0.0217478059350989,2473.70543801271,7.92479076359248e-05,0.315929811773411
"371",9324,29,"Tue","7","LOS ANGELES SPARKS","2018",8861.62543275515,462.374567244855,0.0199196901214566,2473.76900770603,2.58944400013733e-05,0.18887384448205
"372",9542,29,"Thu","8","LOS ANGELES SPARKS","2018",9707.79700060636,-165.797000606364,0.02252465942749,2473.79980593944,3.7849430583193e-06,-0.0678160482573323
"373",19076,30,"Sun","8","LOS ANGELES SPARKS","2018",10183.7200088184,8892.27999118161,0.0208248313890537,2460.68062518686,0.0100310493373165,3.63405627064704
"374",11067,29,"Tue","8","LOS ANGELES SPARKS","2018",8955.35202083721,2111.64797916279,0.020925105866382,2473.06606870361,0.000568510218715613,0.863022818226444
"375",12334,27,"Fri","5","LOS ANGELES SPARKS","2019",7978.58527895723,4355.41472104277,0.0239870776263001,2470.6521300693,0.00278987427485599,1.78283210175441
"376",11388,27,"Sat","6","LOS ANGELES SPARKS","2019",8784.24498251636,2603.75501748364,0.0230277116427457,2472.67935775739,0.000955313532194226,1.06528966047291
"377",9537,26,"Tue","6","LOS ANGELES SPARKS","2019",7170.97796398358,2366.02203601642,0.0194211125679766,2472.8788682088,0.000660398376511964,0.966242710531001
"378",10295,23,"Thu","6","LOS ANGELES SPARKS","2019",7497.10898531395,2797.89101468605,0.0203345621385826,2472.50886909146,0.000968724396011743,1.1431431409639
"379",11067,23,"Sun","6","LOS ANGELES SPARKS","2019",7830.92734071305,3236.07265928695,0.0177940697124972,2472.07564688737,0.00112814808390035,1.3204613772435
"380",10336,23,"Sun","7","LOS ANGELES SPARKS","2019",8689.81205123313,1646.18794876687,0.0182153811600984,2473.35693922716,0.000299105259258113,0.671861910656282
"381",14050,24,"Thu","7","LOS ANGELES SPARKS","2019",8498.09834864696,5551.90165135304,0.0212021066024729,2468.69487542385,0.0039841519016324,2.26936297948086
"382",11692,23,"Thu","8","LOS ANGELES SPARKS","2019",8449.7202839161,3242.2797160839,0.0206050181602797,2472.06402417091,0.00131891743467272,1.32489132569333
"383",12820,23,"Sun","8","LOS ANGELES SPARKS","2019",8783.5386393152,4036.4613606848,0.0180953395000433,2471.11340711267,0.00178603139972895,1.6473081741118
"384",10345,23,"Thu","8","LOS ANGELES SPARKS","2019",8449.7202839161,1895.2797160839,0.0206050181602797,2473.2098267104,0.000450674805393785,0.774467311733043
"385",9244,24,"Sun","8","LOS ANGELES SPARKS","2019",8925.64329212813,318.356707871873,0.01825160528544,2473.78763130736,1.12095473622332e-05,0.129933943561659
"386",9244,23,"Tue","8","LOS ANGELES SPARKS","2019",7697.27530414694,1546.72469585306,0.0189670495050698,2473.40907450374,0.00027537088866277,0.631509571170548
"387",8816,24,"Thu","8","LOS ANGELES SPARKS","2019",8591.82493672903,224.175063270974,0.0207314930202187,2473.79604620074,6.34542921537898e-06,0.0916104721906084
"388",17076,24,"Sun","8","LOS ANGELES SPARKS","2019",8925.64329212813,8150.35670787187,0.01825160528544,2462.81285998306,0.00734705513847952,3.32648240889028
"389",9889,25,"Tue","9","LOS ANGELES SPARKS","2019",8156.65065792232,1732.34934207768,0.0251532434481614,2473.30534561124,0.00046392912811033,0.709538580075553
"390",10591,26,"Thu","9","LOS ANGELES SPARKS","2019",9051.2002905044,1539.7997094956,0.02685193293049,2473.4094319858,0.000392649970916798,0.631223974997517
"391",13500,26,"Sun","9","LOS ANGELES SPARKS","2019",9385.0186459035,4114.9813540965,0.0235424276318235,2470.99202616969,0.00244196609576247,1.68403028497733
"403",0,31,"Fri","5","LOS ANGELES SPARKS","2021",4773.50267778264,-4773.50267778264,0.0252367629738022,2470.01255581864,0.00353483465995762,-1.95522307663735
"404",301,29,"Thu","6","LOS ANGELES SPARKS","2021",4576.23568976521,-4275.23568976521,0.021924766774768,2470.77359964738,0.00244663948522426,-1.74816590436039
"405",430,30,"Sat","6","LOS ANGELES SPARKS","2021",5437.05772852884,-5007.05772852884,0.0248479385842487,2469.63377599347,0.00382622296201305,-2.05047813032261
"406",514,28,"Wed","6","LOS ANGELES SPARKS","2021",4861.19494643756,-4347.19494643756,0.0242820602067552,2470.66307452749,0.00281523453655753,-1.77973641162474
"407",520,28,"Fri","6","LOS ANGELES SPARKS","2021",4437.26238170885,-3917.26238170885,0.021578007487598,2471.26104630394,0.00202015014597077,-1.60150490654389
"408",731,27,"Sun","6","LOS ANGELES SPARKS","2021",4625.84473953846,-3894.84473953846,0.0195941394172759,2471.29517775078,0.00180615116028485,-1.59072796233513
"409",520,27,"Thu","6","LOS ANGELES SPARKS","2021",4292.02638413936,-3772.02638413936,0.0212227646076505,2471.44708634419,0.00184095460180583,-1.54184780374098
"410",746,27,"Wed","6","LOS ANGELES SPARKS","2021",4719.09029362463,-3973.09029362463,0.0239188065716879,2471.18171973286,0.0023146422943919,-1.62627571628408
"411",959,26,"Fri","7","LOS ANGELES SPARKS","2021",5011.93778660308,-4052.93778660308,0.0225546746825091,2471.07899767748,0.00226490970150601,-1.65780106742133
"412",716,25,"Sun","7","LOS ANGELES SPARKS","2021",5200.52014443269,-4484.52014443269,0.0203557649547299,2470.47474815052,0.00249139167856814,-1.8322743428029
"413",892,24,"Sun","7","LOS ANGELES SPARKS","2021",5058.41549161976,-4166.41549161976,0.0201826991201882,2470.93113313788,0.00213144235286236,-1.70215357055928
"414",2029,24,"Sun","8","LOS ANGELES SPARKS","2021",5152.14207970182,-3123.14207970182,0.0199663792980101,2472.1906656206,0.00118429596394363,-1.27579227779647
"415",2200,24,"Tue","8","LOS ANGELES SPARKS","2021",4065.87874453357,-1865.87874453357,0.020391889945253,2473.22825695319,0.000432094727853466,-0.762370259747512
"416",1885,24,"Thu","8","LOS ANGELES SPARKS","2021",4818.32372430272,-2933.32372430272,0.0216535634989087,2472.37845869635,0.00113690304658645,-1.19928492772855
"417",1695,22,"Thu","9","LOS ANGELES SPARKS","2021",4709.28046682638,-3014.28046682638,0.0251607024600606,2472.29322248142,0.00140502296300204,-1.23459882644038
"418",4181,21,"Sun","9","LOS ANGELES SPARKS","2021",4900.99416941255,-719.994169412553,0.022531421141999,2473.71840317435,7.14003483444396e-05,-0.294500672761507
"419",4701,18,"Tue","5","LOS ANGELES SPARKS","2022",5292.56986585419,-591.56986585419,0.0202559762951882,2473.74646883852,4.31319823074576e-05,-0.241689869009462
"420",4020,16,"Wed","5","LOS ANGELES SPARKS","2022",6187.86944948276,-2167.86944948276,0.0249039130003652,2473.02305003096,0.000718949542021296,-0.887806116881444
"421",4852,16,"Tue","5","LOS ANGELES SPARKS","2022",5008.36056022833,-156.360560228333,0.0207308912270806,2473.80031745724,3.08693650630964e-06,-0.063897652772486
"422",8200,17,"Sat","6","LOS ANGELES SPARKS","2022",6711.70124112611,1488.29875887389,0.0230219864321537,2473.43685681514,0.000312041854434615,0.608914672597177
"423",3745,17,"Tue","6","LOS ANGELES SPARKS","2022",5240.53887540626,-1495.53887540626,0.0187446741312407,2473.43488994706,0.000254313053323151,-0.610541807121906
"424",5627,17,"Thu","6","LOS ANGELES SPARKS","2022",5992.98385517541,-365.983855175415,0.0200762693888879,2473.7822090649,1.63561738305874e-05,-0.149511467648314
"425",4200,17,"Mon","6","LOS ANGELES SPARKS","2022",6228.4710431043,-2028.4710431043,0.0653838390229829,2473.09068133173,0.00179887450473274,-0.848517656531967
"426",5436,16,"Sun","7","LOS ANGELES SPARKS","2022",7043.58226828167,-1607.58226828167,0.0183956047902471,2473.37760222043,0.000288168757796643,-0.656165926786612
"427",3340,17,"Mon","7","LOS ANGELES SPARKS","2022",7087.35575362438,-3747.35575362438,0.0654407524876717,2471.36770285666,0.00614531081312252,-1.56758182541068
"428",6389,18,"Thu","7","LOS ANGELES SPARKS","2022",6993.97321850843,-604.973218508427,0.0203682346880842,2473.74380865257,4.53690169281979e-05,-0.247180060638412
"429",5004,17,"Tue","7","LOS ANGELES SPARKS","2022",6099.42358592635,-1095.42358592635,0.0189528142665345,2473.60610644643,0.000138012202653982,-0.447245370785208
"430",5856,17,"Thu","7","LOS ANGELES SPARKS","2022",6851.8685656955,-995.868565695499,0.0206055629417818,2473.64022988604,0.00012443216697053,-0.406941444513225
"431",5478,17,"Tue","7","LOS ANGELES SPARKS","2022",6099.42358592635,-621.423585926345,0.0189528142665345,2473.74056278669,4.44149090794309e-05,-0.253718128469245
"432",10021,17,"Thu","7","LOS ANGELES SPARKS","2022",6851.8685656955,3169.1314343045,0.0206055629417818,2472.14169031136,0.00126011191577692,1.29500113584514
"433",6857,18,"Sun","7","LOS ANGELES SPARKS","2022",7327.79157390753,-470.791573907527,0.0179273961194191,2473.76778309674,2.40628344507658e-05,-0.192116912256529
"434",5789,17,"Tue","8","LOS ANGELES SPARKS","2022",6193.15017400841,-404.15017400841,0.0198848604379132,2473.77735254402,1.97475530868078e-05,-0.165087022956084
"435",4987,16,"Thu","8","LOS ANGELES SPARKS","2022",6803.49050096463,-1816.49050096463,0.0216157051815635,2473.25767173489,0.000435187209920518,-0.742655000086204
"436",7245,15,"Sun","8","LOS ANGELES SPARKS","2022",6995.20420355081,249.795796449192,0.0197796620411185,2473.794046298,7.50241524789989e-06,0.102030963037152
"437",10396,15,"Fri","5","LOS ANGELES SPARKS","2023",6402.61851462457,3993.38148537543,0.0230359280376636,2471.15724406063,0.00224796489920223,1.63384261072646
"438",7314,16,"Thu","5","LOS ANGELES SPARKS","2023",6541.59182268094,772.408177319065,0.0243673100775506,2473.70524566349,8.9204759451665e-05,0.316236799290733
"439",6866,17,"Sat","6","LOS ANGELES SPARKS","2023",7492.48752380956,-626.487523809558,0.0223022106055126,2473.73929656181,5.34838789710114e-05,-0.256223420534886
"440",5431,17,"Fri","6","LOS ANGELES SPARKS","2023",6776.90148261543,-1345.90148261543,0.0190855418693413,2473.50502742099,0.000209859273003607,-0.54954899530741
"441",5265,17,"Fri","6","LOS ANGELES SPARKS","2023",6776.90148261543,-1511.90148261543,0.0190855418693413,2473.42662908033,0.000264818674105505,-0.617328943839569
"442",6289,16,"Sun","6","LOS ANGELES SPARKS","2023",6965.48384044504,-676.483840445037,0.0177192728555299,2473.7288506575,4.90850119671475e-05,-0.276024943654515
"443",4180,16,"Tue","6","LOS ANGELES SPARKS","2023",5879.22050527678,-1699.22050527678,0.0185062174523837,2473.3275028632,0.000323967491895001,-0.693608934064968
"444",5766,16,"Fri","6","LOS ANGELES SPARKS","2023",6634.7968298025,-868.7968298025,0.0193215184949656,2473.67960877637,8.85694231403541e-05,-0.354783667780034
"445",6380,17,"Sun","6","LOS ANGELES SPARKS","2023",7107.58849325797,-727.588493257966,0.0174802421398493,2473.71703149808,5.59881221361542e-05,-0.296841003067771
"446",5912,17,"Wed","7","LOS ANGELES SPARKS","2023",8059.71875786422,-2147.71875786422,0.022107689179893,2473.03970275633,0.000622838579863963,-0.878295402039062
"447",8085,15,"Wed","7","LOS ANGELES SPARKS","2023",7775.50945223836,309.490547761637,0.0226643416076638,2473.78847893866,1.32742439821546e-05,0.126600153437297
"448",5565,15,"Tue","7","LOS ANGELES SPARKS","2023",6596.00056298394,-1031.00056298394,0.0191893683030967,2473.62869865101,0.000123841884336926,-0.420993155001302
"449",11970,15,"Thu","7","LOS ANGELES SPARKS","2023",7348.44554275309,4621.55445724691,0.0209721074585772,2470.26577600304,0.00272952761049192,1.88885776960383
"450",8139,16,"Sun","7","LOS ANGELES SPARKS","2023",7824.36855096512,314.63144903488,0.0180513184772841,2473.78802394857,1.08241799704605e-05,0.12840042149163
"451",6498,15,"Tue","8","LOS ANGELES SPARKS","2023",6689.727151066,-191.727151066002,0.0189827563701611,2473.79829069911,4.23479729934371e-06,-0.0782805760753006
"452",7119,14,"Sat","8","LOS ANGELES SPARKS","2023",8018.78486397292,-899.784863972921,0.0239251756180261,2473.66991918694,0.000118747828380131,-0.36830349680916
"453",3469,16,"Wed","8","LOS ANGELES SPARKS","2023",8011.34069313336,-4542.34069313336,0.0233131642246921,2470.37792393458,0.00294516317975316,-1.8587062205827
"454",6041,16,"Tue","8","LOS ANGELES SPARKS","2023",6831.83180387893,-790.83180387893,0.0187062498847867,2473.70106021808,7.09604427655928e-05,-0.32284444983813
"455",6101,16,"Thu","8","LOS ANGELES SPARKS","2023",7584.27678364808,-1483.27678364808,0.020285410551091,2473.44035267083,0.000271574161371655,-0.606011863391801
"456",4284,16,"Sun","9","LOS ANGELES SPARKS","2023",8093.2611871967,-3809.2611871967,0.0230610794713206,2471.39576914537,0.0020477913765159,-1.55853213141831
"457",3847,18,"Wed","5","LOS ANGELES SPARKS","2024",10463.1672862408,-6616.16728624083,0.0244867075210304,2466.52056768883,0.00657864367370356,-2.70893507498724
"458",3627,17,"Tue","5","LOS ANGELES SPARKS","2024",9141.55374417347,-5514.55374417347,0.0209589138769773,2468.76471113219,0.00388371259049748,-2.25381689151701
"459",19103,18,"Fri","5","LOS ANGELES SPARKS","2024",10039.2347215121,9063.76527848788,0.0217770892594317,2460.15484144735,0.0109194526461813,3.70594056355865
"460",10340,18,"Sun","5","LOS ANGELES SPARKS","2024",10369.9217321547,-29.921732154653,0.021000192339943,2473.80421583578,1.145752779248e-07,-0.0122293716217896
"461",8104,17,"Wed","6","LOS ANGELES SPARKS","2024",10411.1362957929,-2307.1362957929,0.0217374944113246,2472.92228659494,0.000706162364105976,-0.943309616739131
"462",10123,16,"Fri","6","LOS ANGELES SPARKS","2024",9845.09907825126,277.90092174874,0.0196868821402476,2473.79159513412,9.24031306440095e-06,0.11350534022984
"463",13900,17,"Sun","6","LOS ANGELES SPARKS","2024",10317.8907417067,3582.10925829327,0.018025035146709,2471.68550792766,0.00140091679853377,1.46183156381216
"464",9164,14,"Tue","7","LOS ANGELES SPARKS","2024",9664.19815861977,-500.198158619769,0.0204061928885299,2473.76296600431,3.10751691154945e-05,-0.204375008367257
"465",13840,14,"Fri","7","LOS ANGELES SPARKS","2024",10419.7744831455,3420.22551685451,0.0216570758336037,2471.86559182263,0.00154591810678203,1.39835649258781
"466",11618,15,"Sun","7","LOS ANGELES SPARKS","2024",10892.566146601,725.433853399047,0.0195241368767035,2473.71736700531,6.24242114708406e-05,0.296270274484744
"467",9533,15,"Tue","7","LOS ANGELES SPARKS","2024",9806.3028114327,-273.302811432699,0.0200468055680325,2473.7920096494,9.10714200972845e-06,-0.111647794236916
"468",18724,16,"Tue","7","LOS ANGELES SPARKS","2024",9948.40746424563,8775.59253575437,0.0197405522618833,2461.0378555759,0.00924037343517997,3.58438495961467
"469",11120,16,"Thu","8","LOS ANGELES SPARKS","2024",10794.5790320968,325.420967903156,0.0210163104913193,2473.78683109912,1.35630082631348e-05,0.13300455636992
"470",16551,16,"Sat","8","LOS ANGELES SPARKS","2024",11513.2964180475,5037.70358195246,0.0236365586196715,2469.58776609351,0.00367524118376465,2.06174794295287
"471",10403,14,"Wed","8","LOS ANGELES SPARKS","2024",10937.4336359563,-534.43363595626,0.0238705642439357,2473.75693740556,4.17921613026011e-05,-0.218750368697507
"472",11165,15,"Sun","9","LOS ANGELES SPARKS","2024",11161.4587828325,3.54121716746522,0.0218136655246877,2473.80436198549,1.6697443663878e-09,0.001447939713458
"473",10627,12,"Sun","9","LOS ANGELES SPARKS","2024",10735.1448243937,-108.144824393748,0.0231105284488613,2473.8024236046,1.6542071574615e-06,-0.0442478058488824
"474",8253,11,"Tue","9","LOS ANGELES SPARKS","2024",9506.77683641257,-1253.77683641257,0.0249043375668642,2473.54305504597,0.000240480810564642,-0.513458495928675
"475",9561,10,"Wed","9","LOS ANGELES SPARKS","2024",10544.1810728541,-983.181072854062,0.0293828488810732,2473.64293882847,0.000176085824742397,-0.40356941326424
"476",11294,9,"Tue","9","LOS ANGELES SPARKS","2024",9222.56753078671,2071.43246921329,0.0261420142170986,2473.09011968897,0.000690794296921732,0.84885141919259
"477",5907,18,"Sun","5","DALLAS WINGS","2018",4140.30565340809,1766.69434659191,0.0222671653504222,2473.28689276885,0.00042462618354915,0.722536904027923
"478",5191,20,"Sat","6","DALLAS WINGS","2018",4899.48765195054,291.512348049461,0.0202844169750999,2473.79030509905,1.04890415760113e-05,0.119101069747116
"479",4026,21,"Tue","6","DALLAS WINGS","2018",3570.42993904362,455.570060956381,0.018827037843184,2473.77007891857,2.37061266560882e-05,0.185990646527647
"480",4549,20,"Fri","6","DALLAS WINGS","2018",4183.90161075641,365.098389243591,0.0186612030843463,2473.78234793256,1.50862372459357e-05,0.149042163814811
"481",5672,21,"Fri","6","DALLAS WINGS","2018",4326.00626356934,1345.99373643066,0.0187319887476981,2473.50509425448,0.000205851521459783,0.549487646144769
"482",4084,21,"Sun","6","DALLAS WINGS","2018",4656.69327421187,-572.693274211873,0.0179693681560641,2473.7502310651,3.56932669918569e-05,-0.233705148523004
"483",4448,21,"Sun","7","DALLAS WINGS","2018",5515.57798473196,-1067.57798473196,0.0182125415603592,2473.61620009869,0.000125774967063563,-0.435712063054027
"484",4012,20,"Tue","7","DALLAS WINGS","2018",4287.20999675077,-275.209996750774,0.0190614201731136,2473.79184920633,8.76313358295215e-06,-0.11237042206296
"485",4043,21,"Thu","7","DALLAS WINGS","2018",5181.75962933286,-1138.75962933286,0.0214165017760771,2473.58956949691,0.000169385519398619,-0.46552373965462
"486",4034,23,"Tue","7","DALLAS WINGS","2018",4713.52395518956,-679.523955189559,0.0193570006627565,2473.72804315872,5.42856623510787e-05,-0.277496825925666
"487",6459,24,"Tue","7","DALLAS WINGS","2018",4855.62860800249,1603.37139199751,0.0195617955213341,2473.37933018785,0.000305559592269512,0.654836279108904
"488",4411,25,"Thu","7","DALLAS WINGS","2018",5750.17824058457,-1339.17824058457,0.022012576013888,2473.50712369575,0.000241068516021105,-0.547621466145229
"489",4935,24,"Sun","7","DALLAS WINGS","2018",5941.89194317074,-1006.89194317074,0.018669268993568,2473.63690709241,0.000114794648905694,-0.411039804871306
"490",3696,23,"Tue","7","DALLAS WINGS","2018",4713.52395518956,-1017.52395518956,0.0193570006627565,2473.63323192617,0.000121720823824243,-0.415525701061809
"491",5623,22,"Sun","8","DALLAS WINGS","2018",5751.40922562695,-128.409225626949,0.0191161397067626,2473.80163939717,1.91344890808551e-06,-0.0524319665857276
"492",3483,21,"Wed","8","DALLAS WINGS","2018",5702.55012690019,-2219.55012690019,0.0233571137853428,2472.98664502718,0.000704590701655517,-0.908250774287079
"493",6209,20,"Fri","8","DALLAS WINGS","2018",5136.51290935856,1072.48709064144,0.0198284404010952,2473.61415248643,0.000138652564574784,0.438076280890825
"494",6535,20,"Sat","6","DALLAS WINGS","2019",4494.03885213784,2040.96114786216,0.0199794330274129,2473.11534225177,0.000506106194091121,0.833730821914728
"495",3562,18,"Thu","6","DALLAS WINGS","2019",3491.11216056129,70.8878394387102,0.021452573690935,2473.80353172508,6.5753446574993e-07,0.0289794083757265
"496",5220,18,"Sat","6","DALLAS WINGS","2019",4209.82954651198,1010.17045348802,0.0199823000656731,2473.63558894608,0.000124001334351404,0.412654339492621
"497",4626,18,"Thu","6","DALLAS WINGS","2019",3491.11216056129,1134.88783943871,0.021452573690935,2473.591019818,0.000168531438312437,0.463949506997897
"498",4017,18,"Wed","6","DALLAS WINGS","2019",3918.17607004656,98.823929953438,0.0220653937461412,2473.80274541406,1.31606000466836e-06,0.0404125195561319
"499",4521,18,"Sun","6","DALLAS WINGS","2019",3824.93051596039,696.069484039608,0.0183542087054097,2473.72436302902,5.39002320408318e-05,0.28410828900786
"500",5093,19,"Fri","7","DALLAS WINGS","2019",4495.23286865087,597.767131349133,0.0197395415152095,2473.74528059741,4.28723759867309e-05,0.24415746305428
"501",6885,18,"Tue","7","DALLAS WINGS","2019",3597.55189131222,3287.44810868778,0.0202009211403839,2472.01591736507,0.00132823319598863,1.34307141984203
"502",4261,18,"Sun","7","DALLAS WINGS","2019",4683.81522648047,-422.815226480475,0.019005277001772,2473.77482645292,2.0620609448449e-05,-0.17263386658029
"503",5471,16,"Sat","7","DALLAS WINGS","2019",4784.50495140621,686.495048593788,0.0211862821454353,2473.7263236033,6.08679777765759e-05,0.280605448968591
"504",4011,15,"Thu","8","DALLAS WINGS","2019",4017.40950072465,-6.4095007246533,0.0220684655072063,2473.80435725445,5.53685352730651e-09,-0.00262107042604915
"505",5882,15,"Sat","8","DALLAS WINGS","2019",4736.12688667535,1145.87311332465,0.0209409530315437,2473.58698312703,0.000167537152368907,0.46831794724401
