".rownames","attendance","rolling_wins_44","dow","month","team_name","Season",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"50",1389,9,"Thu","6","NEW YORK LIBERTY","2021",-372.987144957913,1761.98714495791,0.0253777486765744,2473.28800396361,0.000484445935266432,0.721760796427434
"51",1419,11,"Tue","6","NEW YORK LIBERTY","2021",-841.22281910121,2260.22281910121,0.0222401492766006,2472.9573651275,0.000694121035655055,0.924365801841558
"52",2148,11,"Thu","6","NEW YORK LIBERTY","2021",-88.7778393320564,2236.77783933206,0.0241613777419125,2472.97321510937,0.000741431084850941,0.915677545723413
"53",1615,11,"Sat","7","NEW YORK LIBERTY","2021",1488.82425713872,126.175742861278,0.0268596572732738,2473.80171242255,2.63730677873073e-06,0.0517245649280103
"54",1677,12,"Mon","7","NEW YORK LIBERTY","2021",1147.69871192984,529.301288070162,0.0675072756894398,2473.755666983,0.000127035463862568,0.221660822032975
"55",1988,13,"Sun","7","NEW YORK LIBERTY","2021",1388.13453221298,599.865467787015,0.0222000603837043,2473.74471534003,4.88001621420644e-05,0.245322608210129
"56",2103,12,"Wed","8","NEW YORK LIBERTY","2021",1433.00202156829,669.997978431707,0.0258801751811383,2473.72967115699,7.15070448147425e-05,0.274521280465099
"57",3889,13,"Fri","8","NEW YORK LIBERTY","2021",1151.17410965251,2737.82589034749,0.0225892848529547,2472.56104696457,0.00103518826563836,1.11989161461864
"58",0,13,"Sun","8","NEW YORK LIBERTY","2021",1481.86112029505,-1481.86112029505,0.0211608213510899,2473.44072227588,0.000283259339302086,-0.605704145742661
"59",1872,13,"Wed","8","NEW YORK LIBERTY","2021",1575.10667438122,296.893325618779,0.0254598841865224,2473.78970383842,1.38012126776129e-05,0.121621201224747
"60",2315,13,"Fri","8","NEW YORK LIBERTY","2021",1151.17410965251,1163.82589034749,0.0225892848529547,2473.57973970485,0.000187061200286319,0.476056151003379
"61",3615,12,"Fri","9","NEW YORK LIBERTY","2021",1184.2355049891,2430.7644950109,0.0270191354727297,2472.81988588636,0.000984936012142599,0.99655081630478
